name,votes,all_star_share
Michael Jordan,1217429,0.076
Charles Barkley,808454,0.051
Patrick Ewing,764573,0.048
Larry Bird,717049,0.045
David Robinson,695519,0.044
Magic Johnson,665354,0.042
Karl Malone,609201,0.038
Isiah Thomas,493414,0.031
Hakeem Olajuwon,454685,0.028
Joe Dumars,391638,0.025
Robert Parish,388962,0.024
Chris Mullin,387990,0.024
Kevin Johnson,381463,0.024
James Worthy,355831,0.022
Clyde Drexler,349995,0.022
John Stockton,344118,0.022
Tom Chambers,332324,0.021
Bernard King,319390,0.02
Dennis Rodman,307103,0.019
Scottie Pippen,286072,0.018
Jerome Kersey,262217,0.016
Moses Malone,262174,0.016
Dominique Wilkins,257770,0.016
Mahmoud Abdul-Rauf,250665,0.016
Terry Cummings,227689,0.014
Reggie Lewis,227570,0.014
Jeff Malone,227344,0.014
Muggsy Bogues,219615,0.014
Derrick McKey,218218,0.014
Horace Grant,216171,0.014
Buck Williams,215534,0.013
Ledell Eackles,197530,0.012
Mitch Richmond,196685,0.012
Terry Porter,196653,0.012
James Edwards,184374,0.012
Tim Hardaway,180335,0.011
Bill Laimbeer,177915,0.011
Dale Ellis,171183,0.011
Kevin McHale,168688,0.011
Alvin Robertson,162421,0.01
Charles Smith,160944,0.01
Mark Price,159697,0.01
Mark Eaton,156475,0.01
Charles Oakley,156124,0.01
J.R. Reid,153979,0.01
Kevin Duckworth,152279,0.01
Sam Perkins,146250,0.009
Doc Rivers,140909,0.009
Maurice Cheeks,138686,0.009
Mark West,125622,0.008
