name,votes,all_star_share
Grant Hill,1289585,0.039
Shaquille O'Neal,1263451,0.038
Scottie Pippen,1134525,0.035
Hakeem Olajuwon,1125032,0.034
David Robinson,1046364,0.032
Charles Barkley,1046105,0.032
Shawn Kemp,1027451,0.031
Anfernee Hardaway,999327,0.03
Reggie Miller,908493,0.028
Dan Majerle,868115,0.026
Latrell Sprewell,861223,0.026
Mark Price,854771,0.026
Tim Hardaway,853784,0.026
Joe Dumars,826935,0.025
John Stockton,798219,0.024
Jason Kidd,744587,0.023
Jamal Mashburn,742815,0.023
Patrick Ewing,728331,0.022
Larry Johnson,698931,0.021
Jeff Hornacek,681231,0.021
Muggsy Bogues,672149,0.02
Jim Jackson,669459,0.02
Alonzo Mourning,664927,0.02
Sam Perkins,599463,0.018
Chris Mullin,598125,0.018
Dikembe Mutombo,594789,0.018
John Starks,589617,0.018
Vernon Maxwell,581254,0.018
Felton Spencer,578452,0.018
Kendall Gill,570338,0.017
Gary Payton,567324,0.017
Karl Malone,526741,0.016
Chris Webber,491783,0.015
Dominique Wilkins,489617,0.015
Scott Skiles,484573,0.015
Harold Miner,484522,0.015
Derek Harper,462115,0.014
Tom Gugliotta,442335,0.013
Glen Rice,425978,0.013
Kevin Willis,404257,0.012
Horace Grant,398521,0.012
Steve Smith,394225,0.012
Detlef Schrempf,391451,0.012
Glenn Robinson,387461,0.012
Charles Oakley,386894,0.012
Danny Manning,327554,0.01
Rik Smits,317885,0.01
Otis Thorpe,306541,0.009
Robert Parish,292557,0.009
Cedric Ceballos,259464,0.008
