name,votes,all_star_share
Kobe Bryant,1474386,0.052
Tracy McGrady,1316297,0.047
Vince Carter,1300895,0.046
Yao Ming,1286324,0.046
Tim Duncan,1179955,0.042
Allen Iverson,1155897,0.041
Ben Wallace,1123090,0.04
Kevin Garnett,1086780,0.039
Michael Jordan,1082909,0.039
Dirk Nowitzki,1079425,0.038
Shaquille O'Neal,1049081,0.037
Steve Francis,966669,0.034
Jason Kidd,962325,0.034
Jermaine O'Neal,940958,0.033
Chris Webber,906836,0.032
Grant Hill,827403,0.029
Steve Nash,786923,0.028
Mike Bibby,630766,0.022
Dikembe Mutombo,610232,0.022
Antoine Walker,528613,0.019
Gary Payton,511056,0.018
Michael Finley,464740,0.017
Kenyon Martin,431775,0.015
Vlade Divac,362451,0.013
Paul Pierce,313652,0.011
Peja Stojaković,308524,0.011
Zydrunas Ilgauskas,297895,0.011
Latrell Sprewell,286883,0.01
David Robinson,270042,0.01
Shareef Abdur-Rahim,269601,0.01
Ray Allen,266735,0.009
Darius Miles,263009,0.009
Elton Brand,260313,0.009
Richard Jefferson,241090,0.009
Antonio Davis,238789,0.008
Brad Miller,238755,0.008
Jamal Mashburn,235417,0.008
Pau Gasol,230285,0.008
Doug Christie,224015,0.008
Scottie Pippen,213529,0.008
Jerry Stackhouse,204299,0.007
Raef LaFrentz,202325,0.007
Tony Parker,199634,0.007
Baron Davis,189818,0.007
Reggie Miller,187075,0.007
Robert Horry,184971,0.007
Rasheed Wallace,184535,0.007
John Stockton,184404,0.007
Andre Miller,180260,0.006
Ricky Davis,166745,0.006
