rank,name,votes
1.,Kobe Bryant,1474386
2.,Steve Francis,966669
3.,Steve Nash,786923
4.,Mike Bibby,630766
5.,Gary Payton,511056
6.,Michael Finley,464740
7.,Doug Christie,224015
8.,Tony Parker,199634
9.,John Stockton,184404
10.,Andre Miller,180260
