rank,name,votes
1.,Michael Jordan,719143
2.,Isiah Thomas,666013
3.,Sidney Moncrief,503105
4.,Dennis Johnson,360069
5.,World B. Free,347110
6.,Maurice Cheeks,247997
7.,George Gervin,223487
8.,Danny Ainge,222768
9.,Vinnie Johnson,216276
10.,Jeff Malone,207145
