name,votes,all_star_share
Magic Johnson,1060892,0.057
Michael Jordan,719143,0.039
Larry Bird,702440,0.038
Kareem Abdul-Jabbar,666826,0.036
Isiah Thomas,666013,0.036
Moses Malone,615089,0.033
Julius Erving,596875,0.032
Ralph Sampson,516087,0.028
Sidney Moncrief,503105,0.027
James Worthy,461528,0.025
Hakeem Olajuwon,434294,0.023
Kelly Tripucka,411032,0.022
Alex English,410112,0.022
Dominique Wilkins,383855,0.021
Mike Mitchell,381611,0.021
Kevin McHale,379696,0.021
Alvin Robertson,378557,0.02
Marques Johnson,363201,0.02
Dennis Johnson,360069,0.019
Johnny Moore,348752,0.019
World B. Free,347110,0.019
Patrick Ewing,344843,0.019
Calvin Natt,332993,0.018
Adrian Dantley,323456,0.017
Artis Gilmore,306899,0.017
Norm Nixon,303904,0.016
John Lucas,299875,0.016
Chris Mullin,299631,0.016
Terry Cummings,294669,0.016
Jeff Ruland,294516,0.016
Fat Lever,286300,0.015
Mark Aguirre,277342,0.015
Michael Cooper,276069,0.015
Xavier McDaniel,272679,0.015
Bill Laimbeer,264738,0.014
Wayman Tisdale,261079,0.014
Rodney McCray,259020,0.014
Clyde Drexler,257628,0.014
Paul Pressey,256666,0.014
Wayne Cooper,255546,0.014
Rolando Blackman,255204,0.014
Robert Parish,251576,0.014
Maurice Cheeks,247997,0.013
Charles Barkley,243841,0.013
Jack Sikma,240138,0.013
Roy Hinson,232974,0.013
George Gervin,223487,0.012
Danny Ainge,222768,0.012
Vinnie Johnson,216276,0.012
Jeff Malone,207145,0.011
