name,votes,all_star_share
Michael Jordan,321114,0.056
Larry Bird,248837,0.043
Patrick Ewing,245746,0.043
Magic Johnson,214348,0.037
Hakeem Olajuwon,202244,0.035
Charles Barkley,182639,0.032
Isiah Thomas,181960,0.032
James Worthy,163053,0.028
A.C. Green,160788,0.028
Karl Malone,159562,0.028
Xavier McDaniel,158759,0.028
John Stockton,149548,0.026
Derek Harper,146986,0.026
Clyde Drexler,145782,0.025
Maurice Cheeks,144201,0.025
Moses Malone,134849,0.023
Jeff Malone,134166,0.023
Dominique Wilkins,132994,0.023
Joe Dumars,128964,0.022
Bill Laimbeer,126604,0.022
David Robinson,119301,0.021
Mark Aguirre,110852,0.019
Scottie Pippen,106717,0.019
Hersey Hawkins,103688,0.018
Mark Eaton,99591,0.017
Kevin McHale,94718,0.016
Bernard King,88550,0.015
Dennis Rodman,87078,0.015
Mark Price,82991,0.014
Horace Grant,81393,0.014
Rick Mahorn,79483,0.014
Kevin Johnson,78812,0.014
Kelly Tripucka,77832,0.014
Doc Rivers,74787,0.013
Chris Mullin,72817,0.013
Derrick McKey,67430,0.012
Dale Ellis,66198,0.012
Steve Johnson,65111,0.011
Pooh Richardson,64276,0.011
Thurl Bailey,64102,0.011
Tom Chambers,64028,0.011
J.R. Reid,62897,0.011
Sleepy Floyd,62886,0.011
Mitch Richmond,60704,0.011
John Battle,59217,0.01
Danny Manning,58593,0.01
Reggie Miller,57616,0.01
Robert Parish,56028,0.01
Rik Smits,51693,0.009
Reggie Lewis,49793,0.009
