rank,name,votes
1.,Michael Jordan,321114
2.,Isiah Thomas,181960
3.,Jeff Malone,134166
4.,Joe Dumars,128964
5.,Hersey Hawkins,103688
6.,Mark Price,82991
7.,Doc Rivers,74787
8.,John Battle,59217
9.,Reggie Miller,57616
10.,Reggie Lewis,49793
