rank,name,votes
1.,James Worthy,163053
2.,A.C. Green,160788
3.,Karl Malone,159562
4.,Xavier McDaniel,158759
5.,Kelly Tripucka,77832
6.,Chris Mullin,72817
7.,Derrick McKey,67430
8.,Thurl Bailey,64102
9.,Tom Chambers,64028
10.,Danny Manning,58593
