name,votes,all_star_share
Dwight Howard,3150181,0.056
LeBron James,2940823,0.052
Kobe Bryant,2805397,0.05
Dwyane Wade,2741413,0.048
Tim Duncan,2578168,0.046
Yao Ming,2532958,0.045
Chris Paul,2134798,0.038
Kevin Garnett,2066833,0.037
Shaquille O'Neal,1850018,0.033
Yi Jianlian,1813829,0.032
Allen Iverson,1804649,0.032
Tracy McGrady,1678516,0.03
Manu Ginóbili,1642350,0.029
Amar'e Stoudemire,1460429,0.026
Bruce Bowen,1392398,0.025
Metta World Peace,1362565,0.024
Carmelo Anthony,1337519,0.024
Vince Carter,1239613,0.022
Paul Pierce,1238763,0.022
Devin Harris,1182406,0.021
Dirk Nowitzki,1107926,0.02
Chris Bosh,1101052,0.019
Tony Parker,1084361,0.019
Luke Ridnour,1039902,0.018
Pau Gasol,948301,0.017
Ray Allen,851205,0.015
Shane Battier,694112,0.012
Steve Nash,677211,0.012
Jamal Crawford,665038,0.012
Gilbert Arenas,635540,0.011
Hedo Türkoğlu,632051,0.011
Kendrick Perkins,621709,0.011
Rafer Alston,550199,0.01
Andrew Bynum,549131,0.01
LaMarcus Aldridge,497550,0.009
Jason Kidd,477792,0.008
Derrick Rose,474384,0.008
Brandon Roy,468688,0.008
José Calderón,445584,0.008
Mehmet Okur,437106,0.008
Joe Johnson,420210,0.007
Luis Scola,405851,0.007
Shawn Marion,405573,0.007
Rasheed Wallace,402991,0.007
Samuel Dalembert,396119,0.007
Danny Granger,365810,0.006
Greg Oden,359318,0.006
Andrew Bogut,357997,0.006
Josh Smith,321129,0.006
Tayshaun Prince,274540,0.005
