rank,name,votes
1.,Clyde Drexler,493204
2.,Mitch Richmond,469978
3.,Kevin Johnson,431885
4.,John Stockton,367605
5.,Mahmoud Abdul-Rauf,343418
6.,Kendall Gill,341265
7.,Dan Majerle,329618
8.,Gary Payton,316720
9.,Ricky Pierce,207198
10.,Kenny Smith,182183
