name,votes,all_star_share
Charles Barkley,794936,0.042
Shaquille O'Neal,603346,0.032
B.J. Armstrong,529065,0.028
Scottie Pippen,496506,0.026
Kenny Anderson,493690,0.026
Clyde Drexler,493204,0.026
Derrick Coleman,482261,0.025
Hakeem Olajuwon,478018,0.025
Mitch Richmond,469978,0.025
Shawn Kemp,461880,0.024
Kevin Johnson,431885,0.023
Patrick Ewing,427216,0.023
Mark Price,423179,0.022
Larry Johnson,419620,0.022
Calbert Cheaney,406684,0.021
Stacey Augmon,401703,0.021
Mookie Blaylock,390433,0.021
Sean Elliott,387581,0.02
Chris Webber,384333,0.02
Alonzo Mourning,379998,0.02
Chris Mullin,376332,0.02
Brad Daugherty,374228,0.02
Shawn Bradley,371917,0.02
A.C. Green,368601,0.019
John Stockton,367605,0.019
Nick Anderson,361200,0.019
Isiah Thomas,358736,0.019
Dominique Wilkins,358501,0.019
Blue Edwards,353064,0.019
David Robinson,350873,0.019
Antoine Carr,348754,0.018
Mahmoud Abdul-Rauf,343418,0.018
Kevin Gamble,342878,0.018
Kendall Gill,341265,0.018
Joe Dumars,340581,0.018
Dikembe Mutombo,337827,0.018
Dan Majerle,329618,0.017
Jeff Hornacek,327965,0.017
Karl Malone,322450,0.017
Gary Payton,316720,0.017
Detlef Schrempf,315912,0.017
Derek Harper,313679,0.017
LaPhonso Ellis,302851,0.016
Vlade Divac,293026,0.015
Harvey Grant,290248,0.015
Jamal Mashburn,267111,0.014
Glen Rice,208865,0.011
Ricky Pierce,207198,0.011
Larry Nance,202044,0.011
Kenny Smith,182183,0.01
