name,votes,all_star_share
Julius Erving,304600,0.059
Kareem Abdul-Jabbar,265200,0.052
Eddie Johnson,258862,0.05
Adrian Dantley,256837,0.05
Dan Roundfield,253710,0.049
Paul Westphal,250840,0.049
Artis Gilmore,240191,0.047
Reggie Theus,237209,0.046
Tree Rollins,235974,0.046
Jack Sikma,224047,0.044
John Drew,221470,0.043
Marques Johnson,216801,0.042
George Gervin,209549,0.041
Dave Greenwood,199607,0.039
Walter Davis,172479,0.034
Alex English,169466,0.033
Tiny Archibald,164234,0.032
Brian Winters,153602,0.03
Maurice Cheeks,153262,0.03
Bob Lanier,148470,0.029
Robert Reid,143240,0.028
Darrell Griffith,138481,0.027
Moses Malone,136014,0.027
Scott Wedman,128832,0.025
David Thompson,126257,0.025
Dennis Johnson,123287,0.024
