name,votes,all_star_share
Kobe Bryant,1891614,0.082
Stephen Curry,1604325,0.069
LeBron James,1089206,0.047
Kevin Durant,980787,0.042
Dwyane Wade,941466,0.041
Kawhi Leonard,782339,0.034
Russell Westbrook,772009,0.033
Zaza Pachulia,768112,0.033
Draymond Green,726616,0.031
Paul George,711595,0.031
Blake Griffin,651860,0.028
Kyle Lowry,646441,0.028
Chris Paul,624334,0.027
Kyrie Irving,580651,0.025
Carmelo Anthony,567348,0.025
Pau Gasol,566988,0.025
Jimmy Butler,564637,0.024
Klay Thompson,555513,0.024
Enes Kanter,534499,0.023
Andre Drummond,515296,0.022
Kristaps Porziņģis,473579,0.021
DeMar DeRozan,444868,0.019
Tim Duncan,431087,0.019
James Harden,430777,0.019
Anthony Davis,400688,0.017
John Wall,368686,0.016
DeMarcus Cousins,364270,0.016
Chris Bosh,351420,0.015
Kevin Love,332685,0.014
Derrick Rose,302389,0.013
Hassan Whiteside,301362,0.013
DeAndre Jordan,269427,0.012
LaMarcus Aldridge,268003,0.012
Manu Ginóbili,226289,0.01
Dwight Howard,219761,0.01
Rajon Rondo,200518,0.009
Jeremy Lin,195920,0.008
Tony Parker,195472,0.008
Andre Iguodala,181142,0.008
Dirk Nowitzki,173317,0.008
Damian Lillard,158360,0.007
Harrison Barnes,155289,0.007
Isaiah Thomas,153642,0.007
Giannis Antetokounmpo,84617,0.004
Reggie Jackson,76688,0.003
Jonas Valančiūnas,73079,0.003
Joakim Noah,48509,0.002
DeMarre Carroll,46044,0.002
Marcin Gortat,43496,0.002
Paul Millsap,41654,0.002
