name,votes,all_star_share
Michael Jordan,1003062,0.058
Magic Johnson,856751,0.049
Karl Malone,760168,0.044
Dominique Wilkins,715991,0.041
Hakeem Olajuwon,670472,0.039
Alex English,525186,0.03
Charles Barkley,486526,0.028
Moses Malone,443027,0.026
Isiah Thomas,402360,0.023
Mark Price,388715,0.022
Patrick Ewing,382833,0.022
Larry Nance,380819,0.022
Dale Ellis,379616,0.022
Ron Harper,354807,0.02
John Stockton,353126,0.02
James Worthy,342074,0.02
Mark Eaton,336592,0.019
Kevin Duckworth,333385,0.019
Mark Jackson,331150,0.019
Xavier McDaniel,322507,0.019
Kevin McHale,320698,0.018
Clyde Drexler,315395,0.018
Kareem Abdul-Jabbar,310119,0.018
Brad Daugherty,301438,0.017
Fat Lever,296386,0.017
Bernard King,295694,0.017
Jeff Malone,289097,0.017
Jerome Kersey,277330,0.016
Sleepy Floyd,274968,0.016
Chris Mullin,273891,0.016
Charles Oakley,271540,0.016
Robert Parish,271025,0.016
Terry Porter,266216,0.015
Larry Bird,256569,0.015
Tim McCormick,256066,0.015
Steve Johnson,248492,0.014
Bill Laimbeer,240001,0.014
Danny Manning,236149,0.014
Dennis Johnson,235519,0.014
Mark Aguirre,234532,0.014
Eddie Johnson,229889,0.013
Thurl Bailey,226676,0.013
Hersey Hawkins,225410,0.013
Danny Schayes,220721,0.013
Wayman Tisdale,212590,0.012
Michael Adams,211265,0.012
Roy Hinson,207147,0.012
Hot Rod Williams,199518,0.012
Paul Pressey,186069,0.011
Ricky Pierce,185188,0.011
