rank,name,votes
1.,Magic Johnson,856751
2.,Dale Ellis,379616
3.,John Stockton,353126
4.,Clyde Drexler,315395
5.,Fat Lever,296386
6.,Sleepy Floyd,274968
7.,Chris Mullin,273891
8.,Terry Porter,266216
9.,Eddie Johnson,229889
10.,Michael Adams,211265
