pts_per_g,per,ws,ws_per_48,bpm,Decision
24.jul,26.maj,14.avg,0.22899999999999998,6.mar,0.04
18.jun,23.jan,10.avg,0.187,4.jun,0.026000000000000002
18.sep,20.avg,9.jun,0.16899999999999998,2.jun,0.006999999999999999
33.0,25.sep,10.jun,0.165,3.maj,0.001
21.avg,23.jun,14.jun,0.214,5.mar,0.001
24.jun,27.jun,16.mar,0.278,6.jul,0.882
18.jun,23.avg,12.jun,0.225,3.avg,0.785
31.6,26.jan,13.0,0.19899999999999998,4.jul,0.40399999999999997
20.0,26.jan,13.0,0.23,7.jan,0.222
27.mar,24.maj,13.jul,0.20600000000000002,7.apr,0.142
24.jun,23.feb,8.jun,0.163,6.feb,0.085
22.jun,22.jun,9.jun,0.174,2.jun,0.033
28.apr,24.0,10.avg,0.177,5.0,0.024
20.sep,24.jan,9.sep,0.185,4.jun,0.005
22.apr,24.jan,10.jul,0.171,5.0,0.005
17.0,21.mar,11.apr,0.21600000000000003,4.apr,0.003
17.mar,21.jul,2.avg,0.11900000000000001,0.9,0.002
27.apr,28.sep,8.avg,0.21899999999999997,8.apr,0.002
20.apr,23.jan,11.feb,0.201,1.jun,0.002
28.sep,22.jan,7.mar,0.14,2.0,0.001
20.jan,21.0,6.apr,0.139,3.apr,0.001
18.jun,21.apr,9.jun,0.185,2.jul,0.001
28.mar,24.feb,13.avg,0.20800000000000002,5.apr,0.873
21.jan,28.mar,17.avg,0.284,9.feb,0.71
18.avg,25.mar,12.sep,0.265,7.apr,0.532
30.0,29.jan,15.feb,0.242,11.feb,0.348
20.jul,22.sep,12.sep,0.2,2.feb,0.048
25.feb,27.jun,14.jun,0.262,3.sep,0.021
19.mar,24.apr,11.jan,0.201,4.jul,0.02
21.jun,18.apr,5.avg,0.115,2.apr,0.015
16.sep,21.jan,10.maj,0.18100000000000002,1.jun,0.013999999999999999
19.maj,24.mar,11.jan,0.23199999999999998,8.jan,0.006999999999999999
23.jun,24.jun,12.sep,0.223,5.feb,0.004
18.avg,20.avg,11.mar,0.177,2.jan,0.003
25.jul,21.jan,8.feb,0.14,1.jun,0.002
21.jan,21.sep,10.feb,0.17300000000000001,3.feb,0.001
21.apr,20.mar,9.feb,0.14400000000000002,0.3,0.001
19.jun,19.jun,12.apr,0.207,4.jul,0.001
12.jul,17.feb,7.jun,0.155,4.0,0.001
28.apr,31.jul,20.mar,0.318,13.0,0.9690000000000001
26.avg,24.apr,12.jul,0.20600000000000002,4.maj,0.5770000000000001
30.2,30.apr,14.jul,0.23199999999999998,10.jul,0.562
20.jun,25.apr,13.avg,0.23399999999999999,4.apr,0.271
22.avg,30.0,18.mar,0.292,11.feb,0.159
17.jul,18.avg,10.jan,0.174,2.maj,0.027000000000000003
20.maj,17.jul,10.mar,0.16399999999999998,2.maj,0.017
22.0,23.apr,8.jun,0.168,3.jan,0.006999999999999999
22.jun,24.0,13.maj,0.223,5.avg,0.006
25.sep,23.jan,10.sep,0.171,1.feb,0.002
19.mar,24.apr,10.jan,0.191,4.jun,0.002
19.jul,22.jul,10.jun,0.196,3.0,0.001
29.jul,31.jan,18.maj,0.299,12.maj,0.98
30.jan,26.feb,16.jan,0.23800000000000002,5.jan,0.495
27.0,21.sep,9.apr,0.16,3.jun,0.48700000000000004
18.mar,24.0,13.feb,0.223,5.maj,0.389
26.jun,28.0,13.0,0.22399999999999998,9.apr,0.09699999999999999
28.feb,22.feb,7.sep,0.145,1.apr,0.053
25.0,22.sep,12.mar,0.19399999999999998,2.jun,0.045
16.maj,21.jun,9.sep,0.17800000000000002,1.avg,0.04
18.jul,20.jun,10.mar,0.177,3.mar,0.006
23.jan,22.jun,10.jul,0.18100000000000002,0.3,0.004
16.maj,22.maj,9.jul,0.21600000000000003,6.mar,0.002
19.maj,20.feb,9.maj,0.182,3.jan,0.001
24.0,25.0,9.jun,0.182,2.mar,0.001
20.jun,15.jun,5.0,0.077,0.8,0.001
21.mar,19.mar,8.apr,0.14,2.feb,0.001
25.0,23.maj,13.jan,0.20800000000000002,5.sep,0.977
22.sep,26.jan,14.apr,0.235,4.avg,0.531
26.jul,27.mar,15.jun,0.244,8.jun,0.431
25.mar,23.sep,10.mar,0.17800000000000002,3.avg,0.354
27.jul,23.jun,12.0,0.18899999999999997,2.sep,0.157
23.0,23.apr,11.jan,0.213,3.avg,0.09300000000000001
25.maj,25.jun,12.avg,0.218,5.sep,0.02
17.apr,21.jul,9.sep,0.195,5.mar,0.017
25.mar,22.jul,8.0,0.134,0.7,0.006999999999999999
22.maj,21.sep,9.avg,0.152,3.feb,0.004
10.jun,17.jan,6.jun,0.126,2.0,0.004
17.maj,20.apr,8.feb,0.156,1.jul,0.002
15.sep,23.jul,13.sep,0.23199999999999998,6.apr,0.002
27.jan,30.jul,14.maj,0.298,11.0,0.888
28.0,26.feb,12.feb,0.23,5.feb,0.735
19.avg,27.0,12.jul,0.278,7.sep,0.318
27.sep,21.sep,6.feb,0.132,2.mar,0.29100000000000004
18.mar,22.0,7.jan,0.177,1.jul,0.27399999999999997
26.0,25.apr,10.0,0.223,4.maj,0.048
20.jun,24.feb,7.jul,0.179,3.avg,0.011000000000000001
11.sep,17.maj,4.sep,0.121,1.mar,0.01
12.maj,20.mar,5.sep,0.14400000000000002,-0.5,0.006
22.jan,26.mar,7.jul,0.22699999999999998,6.mar,0.005
21.avg,23.0,6.0,0.21100000000000002,4.sep,0.004
21.jun,21.jul,7.jun,0.175,1.avg,0.003
23.jun,22.sep,7.sep,0.163,3.feb,0.003
15.apr,22.maj,5.sep,0.174,2.apr,0.002
18.avg,18.apr,6.apr,0.145,2.jan,0.001
26.avg,31.6,19.mar,0.322,11.jun,0.998
28.jan,28.mar,18.sep,0.29100000000000004,7.jul,0.632
28.jul,24.avg,9.maj,0.184,2.apr,0.39299999999999996
16.sep,26.apr,13.sep,0.287,7.maj,0.239
27.mar,23.0,10.sep,0.174,4.jul,0.152
20.mar,23.0,9.mar,0.20600000000000002,2.jul,0.071
17.avg,24.apr,8.mar,0.191,4.jan,0.054000000000000006
25.sep,23.0,12.avg,0.20600000000000002,5.maj,0.027000000000000003
23.feb,23.sep,11.jun,0.195,5.0,0.006999999999999999
21.feb,24.0,9.jun,0.192,3.sep,0.004
22.sep,21.mar,11.feb,0.18,5.apr,0.002
14.avg,19.feb,5.jun,0.133,1.0,0.001
14.jan,19.maj,11.maj,0.19699999999999998,6.jan,0.001
16.jul,17.sep,7.apr,0.141,1.apr,0.001
18.maj,19.feb,9.jan,0.15,2.maj,0.001
11.sep,18.jan,7.mar,0.145,5.feb,0.001
