pts_per_g,per,ws,ws_per_48,bpm,Decision
20.jun,21.jan,10.feb,0.168,3.apr,0.015
20.jan,19.avg,8.jul,0.134,5.jan,0.013999999999999999
17.avg,16.feb,5.maj,0.11800000000000001,0.0,0.006
9.jul,13.jun,5.apr,0.09300000000000001,2.jan,0.005
16.jan,17.jun,9.jun,0.16,4.apr,0.004
18.maj,20.apr,8.mar,0.166,4.maj,0.004
27.apr,20.sep,7.jun,0.121,1.jan,0.004
22.maj,19.jul,6.0,0.127,2.maj,0.003
28.0,18.sep,6.feb,0.09699999999999999,0.3,0.003
17.feb,19.jul,7.maj,0.141,5.feb,0.001
20.0,20.0,7.jun,0.14400000000000002,3.feb,0.001
25.avg,25.jun,15.avg,0.244,9.jan,0.981
30.mar,23.mar,10.avg,0.17,3.jun,0.522
18.avg,24.0,12.jan,0.226,5.sep,0.263
23.maj,24.feb,9.maj,0.18600000000000003,5.mar,0.247
23.apr,22.jul,10.avg,0.19699999999999998,4.maj,0.17300000000000001
20.0,22.apr,10.avg,0.17600000000000002,7.sep,0.171
20.feb,20.0,11.jul,0.21899999999999997,5.jan,0.07200000000000001
29.avg,21.jul,9.avg,0.156,2.jan,0.071
20.sep,21.feb,8.avg,0.151,4.0,0.036000000000000004
23.avg,20.jun,8.sep,0.157,-0.8,0.027000000000000003
19.avg,18.feb,7.apr,0.133,1.feb,0.012
20.0,20.apr,9.maj,0.185,4.jan,0.009000000000000001
21.mar,21.jun,11.0,0.22,4.jun,0.004
14.mar,18.jun,9.avg,0.174,5.mar,0.004
17.0,19.maj,8.jun,0.14300000000000002,6.jun,0.004
29.avg,24.jun,12.avg,0.223,4.sep,0.003
15.sep,15.jan,6.avg,0.106,0.8,0.003
15.jun,14.jul,6.jul,0.11800000000000001,0.7,0.001
23.sep,27.0,15.sep,0.263,8.jan,0.94
37.1,29.avg,16.sep,0.247,8.jun,0.5760000000000001
28.jan,26.apr,15.feb,0.243,9.feb,0.34700000000000003
26.jan,24.0,14.avg,0.23199999999999998,5.feb,0.326
29.0,23.maj,12.feb,0.19699999999999998,4.sep,0.16399999999999998
23.0,25.jan,12.0,0.21,9.feb,0.145
23.apr,23.avg,10.sep,0.18899999999999997,6.jun,0.036000000000000004
20.jun,18.avg,7.jun,0.121,3.0,0.022000000000000002
18.sep,20.avg,9.jul,0.153,5.jun,0.013999999999999999
24.jan,23.avg,9.apr,0.182,1.sep,0.012
16.avg,15.jan,4.apr,0.091,-0.5,0.005
21.jul,18.0,6.sep,0.11599999999999999,1.jun,0.004
17.maj,17.jul,9.feb,0.147,2.mar,0.004
28.jun,20.maj,8.jan,0.126,1.0,0.003
25.jul,22.jan,8.sep,0.16,2.avg,0.001
21.0,18.jan,8.0,0.14,0.6,0.001
21.feb,18.apr,4.jun,0.08199999999999999,0.4,0.001
35.0,31.jul,21.feb,0.308,12.feb,0.831
29.sep,27.avg,15.0,0.243,8.avg,0.659
19.jun,23.jan,10.sep,0.19899999999999998,5.mar,0.635
28.mar,27.jun,16.jul,0.253,9.0,0.136
27.0,24.jan,13.feb,0.207,7.apr,0.10800000000000001
30.jul,23.jul,9.avg,0.16,2.sep,0.069
22.avg,23.apr,10.jul,0.182,5.0,0.05
27.jul,20.jul,10.jan,0.152,2.maj,0.045
18.sep,20.maj,10.apr,0.163,6.jan,0.033
14.jul,23.feb,14.jan,0.23800000000000002,3.sep,0.019
25.0,19.avg,7.jun,0.129,1.apr,0.005
19.maj,18.feb,7.jun,0.124,2.maj,0.004
13.jun,15.jul,7.jun,0.113,2.avg,0.003
13.sep,15.jun,7.maj,0.13,2.feb,0.001
25.jan,21.sep,8.avg,0.163,3.jan,0.001
20.0,19.sep,9.apr,0.21,2.0,0.001
18.mar,18.feb,7.jun,0.138,1.mar,0.001
22.maj,26.sep,16.jan,0.267,9.mar,0.782
32.5,31.jan,19.avg,0.292,12.jun,0.7040000000000001
29.jan,24.apr,15.feb,0.233,6.jan,0.426
22.jul,22.jan,10.sep,0.18100000000000002,4.jul,0.235
