rank,name,votes
1,Luka Dončić,6111735
2,James Harden,3751362
3,Damian Lillard,1337540
5,Russell Westbrook,1094254
8,Devin Booker,811479
7,Donovan Mitchell,928911
9,Ja Morant,629473
11,Chris Paul,446095
10,D'Angelo Russell,619298
6,Stephen Curry,1043882
13,Shai Gilgeous-Alexander,313492
12,DeMar DeRozan,372916
16,Lou Williams,218455
23,Jamal Murray,139889
21,Ricky Rubio,158862
22,Lonzo Ball,149772
19,CJ McCollum,174709
14,Danny Green,292145
28,Patrick Beverley,89215
17,Kentavious Caldwell-Pope,189970
31,Jrue Holiday,72082
29,De'Aaron Fox,83601
26,Dennis Schröder,118500
18,Tim Hardaway Jr.,189548
25,Bogdan Bogdanović,119092
30,Mike Conley,75971
39,Will Barton,28325
24,Avery Bradley,119823
32,Buddy Hield,51888
34,Patty Mills,36507
33,J.J. Barea,45672
35,Quinn Cook,35051
44,Alec Burks,21634
37,J.J. Redick,31246
46,Marco Belinelli,21309
48,Hamidou Diallo,20475
52,Jordan Poole,16288
49,Lonnie Walker,20471
50,Glenn Robinson III,17370
56,Ryan Broekhoff,13521
63,Dillon Brooks,8606
58,Ky Bowman,13126
55,Derrick White,15606
71,Grayson Allen,6220
68,Jarrett Culver,7500
75,Nickeil Alexander-Walker,6060
73,Jevon Carter,6163
4,Alex Caruso,1284932
76,Jeff Teague,5369
80,Kent Bazemore,4383
77,Andre Roberson,4863
78,Luguentz Dort,4625
81,Deonte Burton,4216
82,Josh Okogie,4137
84,Shabazz Napier,3720
15,Klay Thompson,247424
89,Justin Wright-Foreman,2789
20,Rajon Rondo,170892
94,Derrick Walton,2583
98,Frank Jackson,2327
27,Seth Curry,111665
99,De'Anthony Melton,2240
104,Miye Oni,1851
102,Yogi Ferrell,1954
103,Jared Harper,1907
106,PJ Dozier,1652
36,Damion Lee,32345
38,Dejounte Murray,29113
40,Delon Wright,27956
41,Eric Gordon,27803
113,Jordan McLaughlin,771
42,Jalen Brunson,26372
43,Gary Harris,22320
45,Emmanuel Mudiay,21546
47,Terrance Ferguson,21058
51,Troy Daniels,17101
53,Austin Rivers,16137
54,Ben McLemore,15942
57,Landry Shamet,13258
59,Marko Guduric,12018
60,Bryn Forbes,11709
61,Josh Hart,10244
62,Talen Horton-Tucker,9933
64,Gerald Green,8428
65,Anfernee Simons,7962
66,Chris Clemons,7939
67,Dante Exum,7801
69,Malik Beasley,7210
70,Monte Morris,6556
72,Jacob Evans,6202
74,Yuta Watanabe,6141
79,Courtney Lee,4504
83,Antonius Cleveland,4094
85,Rodney Hood,3697
86,Jalen Lecque,3464
87,E'Twaun Moore,3148
88,Josh Reaves,2979
90,Kyle Guy,2757
91,Tyler Johnson,2689
92,Cory Joseph,2674
93,Rodney McGruder,2586
95,Nigel Williams-Goss,2484
96,Ty Jerome,2359
97,Jerome Robinson,2345
100,Tyus Jones,2061
101,Terance Mann,2041
105,Keldon Johnson,1777
107,Quinndary Weatherspoon,1551
108,Michael Frazier,1312
109,Kenrich Williams,983
110,Justin James,981
111,Jaylen Nowell,952
112,John Konchar,774
114,DaQuan Jeffries,737
115,Josh Gray,678
116,Treveon Graham,628
