rank,name,votes
1,LeBron James,6275459
2,Anthony Davis,5813769
3,Kawhi Leonard,3917190
5,Nikola Jokić,1232979
4,Paul George,1505691
8,Brandon Ingram,1015453
11,Rudy Gobert,622699
6,Carmelo Anthony,1058543
7,Kristaps Porziņģis,1029403
9,Karl-Anthony Towns,960600
13,Bojan Bogdanović,374370
15,Kelly Oubre Jr.,267186
14,Draymond Green,277681
19,Steven Adams,212331
18,Montrezl Harrell,218090
24,LaMarcus Aldridge,162470
20,Danilo Gallinari,199399
21,Clint Capela,170318
16,Andrew Wiggins,246604
22,Joe Ingles,169313
12,Kyle Kuzma,505901
29,Jonas Valančiūnas,103574
10,Dwight Howard,948368
32,Eric Paschall,84982
36,Jaren Jackson Jr.,60236
34,Deandre Ayton,65812
31,Aron Baynes,85452
23,Boban Marjanović,165510
35,Kostas Antetokounmpo,63400
25,Dwight Powell,156275
17,JaVale McGee,226862
26,Zion Williamson,137937
37,Nemanja Bjelica,59189
41,Nerlens Noel,38571
39,P.J. Tucker,47466
30,Hassan Whiteside,95933
43,Willie Cauley-Stein,34695
40,Royce O'Neale,43390
49,Ivica Zubac,25499
42,Jared Dudley,36542
46,Rudy Gay,30351
51,Georges Niang,22284
43,Michael Porter Jr.,34695
57,Dario Šarić,18816
53,Jakob Poeltl,22045
65,Marvin Bagley III,14645
45,Paul Millsap,31876
64,Harrison Barnes,14797
54,Jerami Grant,20886
62,Brandon Clarke,15777
47,Bol Bol,28705
60,Richaun Holmes,16018
58,Derrick Favors,18728
52,Jaxson Hayes,22264
66,Marquese Chriss,14276
55,Alen Smailagić,20558
74,Jae Crowder,10495
71,Robert Covington,11948
59,Juan Hernangómez,18477
68,Omari Spellman,13431
61,Darius Bazley,15876
70,Tony Bradley,11960
67,Abdel Nader,13487
77,Mikal Bridges,9277
73,Jusuf Nurkić,10894
83,Gorgui Dieng,6579
78,Cameron Johnson,9273
81,Tyson Chandler,8305
100,Kyle Anderson,3297
95,Bruno Caboclo,4219
87,Ed Davis,6333
88,Mike Muscala,6240
109,Trevor Ariza,2464
93,Mario Hezonja,4615
106,Jarrell Brantley,2517
112,Harry Giles,2051
105,Jordan Bell,2701
27,Dorian Finney-Smith,125014
28,Maxi Kleber,114188
118,Chimezie Metu,1548
110,Juwan Morgan,2304
33,DeMarcus Cousins,83980
38,Vlatko Čančar,59034
117,Jarred Vanderbilt,1631
119,Drew Eubanks,1538
120,Solomon Hill,1431
124,Johnathan Motley,1134
48,Kevon Looney,25531
127,Zylan Cheatham,985
50,Danuel House,22620
56,Justin Jackson,18864
63,Andre Iguodala,14883
69,Nicolò Melli,12255
72,Isaiah Hartenstein,10912
75,Mason Plumlee,10049
76,Frank Kaminsky,9669
79,Maurice Harkless,9134
80,Zach Collins,9059
82,Nenê,6753
84,Trey Lyles,6553
85,Patrick Patterson,6442
86,JaMychal Green,6399
89,Isaiah Roby,5736
90,Torrey Craig,5390
91,Jahlil Okafor,4681
92,Elie Okobo,4620
94,Luka Šamanić,4230
96,Skal Labissière,3877
97,DeMarre Carroll,3836
98,Nassir Little,3606
99,Cheick Diallo,3480
101,Anthony Tolliver,3227
102,Jake Layman,3183
103,Gary Clark,3080
104,Thabo Sefolosha,3055
107,Naz Reid,2485
108,Gary Trent Jr.,2484
111,Keita Bates-Diop,2230
113,Mfiondu Kabengele,1948
114,Justin Patton,1874
115,Jaylen Hoard,1778
116,Josh Jackson,1676
121,Amir Coffey,1335
122,Caleb Swanigan,1228
123,Moses Brown,1195
125,Dewayne Dedmon,1133
126,Wenyen Gabriel,1057
128,Kelan Martin,974
129,Noah Vonleh,922
130,Darius Miller,909
131,Jeff Green,219
