rank,name,votes
1,Trae Young,2829969
3,Kemba Walker,2309416
2,Kyrie Irving,2426946
6,Kyle Lowry,1199518
4,Derrick Rose,1891732
8,Ben Simmons,824128
5,Zach LaVine,1218280
9,Bradley Beal,805276
12,Spencer Dinwiddie,459419
20,Evan Fournier,115174
7,Jaylen Brown,912166
10,Fred VanVleet,797196
13,Devonte' Graham,215893
17,Eric Bledsoe,169665
11,Goran Dragić,476350
18,Malcolm Brogdon,162014
16,Kendrick Nunn,179648
15,Tyler Herro,203895
22,Josh Richardson,72691
23,George Hill,66433
26,RJ Barrett,58061
24,Isaiah Thomas,61730
31,Collin Sexton,41814
25,Wesley Matthews,60244
28,Markelle Fultz,48473
29,Coby White,43268
35,Jeremy Lamb,33506
37,Terry Rozier,28719
30,Victor Oladipo,42647
27,Terence Davis,51694
32,Furkan Korkmaz,41797
33,Donte DiVincenzo,41070
41,Caris LeVert,21394
36,Matisse Thybulle,31116
44,John Wall,19538
38,Joe Harris,28590
45,Kevin Huerter,18408
39,Pat Connaughton,25298
40,Patrick McCaw,22294
47,Isaac Bonga,17946
52,Aaron Holiday,13871
55,Darius Garland,10870
61,Justin Holiday,7744
60,Terrence Ross,7963
56,T.J. McConnell,10844
57,Matthew Dellavedova,10207
65,Dennis Smith Jr.,7395
62,Trey Burke,7553
68,Ryan Arcidiacono,6513
73,D.J. Augustin,5724
78,Kadeem Allen,4268
80,Elfrid Payton,4180
82,Dwayne Bacon,3757
14,Jordan Clarkson,215141
84,Jordan McRae,3582
94,Timothé Luwawu-Cabarrot,2376
19,Marcus Smart,117613
96,Jordan Bone,2242
21,Norman Powell,106020
93,Michael Carter-Williams,2439
97,Marial Shayok,2185
34,Kyle Korver,39282
108,Shake Milton,1496
110,Kobi Simmons,1188
42,Brad Wanamaker,20683
43,Carsen Edwards,19752
113,Tim Frazier,1109
46,Tomáš Satoranský,17980
48,Luke Kennard,17282
49,Frank Ntilikina,16613
50,Matt Thomas,14736
51,Cam Reddish,14288
53,Romeo Langford,13119
54,Javonte Green,11469
58,Džanan Musa,9309
59,Kris Dunn,8915
63,Kevin Porter Jr.,7552
64,Sviatoslav Mykhailiuk,7529
66,Garrett Temple,6728
67,Malik Monk,6617
69,Tremont Waters,6215
70,Dion Waiters,6042
71,Sterling Brown,5939
72,Raul Neto,5893
74,Langston Galloway,5558
75,Ish Smith,5436
76,Denzel Valentine,4879
77,Tony Snell,4828
79,Bruce Brown,4248
81,Frank Mason III,4060
83,Brandon Goodwin,3701
85,Reggie Bullock,3210
86,David Nwaba,3181
87,Theo Pinson,3058
88,Allen Crabbe,2877
89,Allonzo Trier,2863
90,Charlie Brown,2706
91,Edmond Sumner,2616
92,Evan Turner,2548
95,Brandon Knight,2305
98,Shamorie Ponds,2123
99,Zhaire Smith,2090
100,Reggie Jackson,2077
101,Garrison Mathews,1999
102,Shaquille Harrison,1955
103,Adam Mokoka,1896
104,Khyri Thomas,1837
105,Damyean Dotson,1823
106,Max Strus,1583
107,Daryl Macon,1545
109,Naz Mitrou-Long,1236
111,C.J. Miles,1150
112,Wayne Ellington,1131
114,Josh Magette,912
115,Melvin Frazier,513
116,Justin Robinson,477
117,Chris Chiozza,271
