rank,name,votes
1,Giannis Antetokounmpo,5902286
3,Joel Embiid,3110185
2,Pascal Siakam,3293494
4,Jimmy Butler,2784717
7,Bam Adebayo,718240
8,Domantas Sabonis,564027
5,Jayson Tatum,2177910
10,Andre Drummond,428418
11,Khris Middleton,349404
6,Tacko Fall,947378
13,Kevin Love,308767
15,Tobias Harris,262697
9,Gordon Hayward,516703
14,Vince Carter,298640
23,Al Horford,108674
20,Nikola Vučević,169804
21,Brook Lopez,134813
17,Kevin Durant,233468
12,Serge Ibaka,342575
28,Jarrett Allen,80259
18,Marc Gasol,201196
22,Enes Kanter,130808
24,Aaron Gordon,94322
16,Blake Griffin,239510
29,Thanasis Antetokounmpo,79490
25,Lauri Markkanen,92748
19,OG Anunoby,185087
27,Dāvis Bertāns,89887
36,T.J. Warren,62591
34,DeAndre Jordan,68857
37,Myles Turner,60724
33,Rui Hachimura,68954
43,Tristan Thompson,41019
32,Marcus Morris,69691
41,Cedi Osman,45625
30,Chris Boucher,79394
31,John Collins,72873
26,Julius Randle,90202
44,Wendell Carter Jr.,28025
35,Duncan Robinson,63996
42,Ersan İlyasova,45078
38,Rondae Hollis-Jefferson,59448
55,Mo Bamba,18725
50,Jabari Parker,21591
40,Derrick Jones Jr.,53407
60,Taurean Prince,14523
48,Grant Williams,23957
57,Miles Bridges,15987
46,Justise Winslow,26011
53,P.J. Washington,20059
49,Meyers Leonard,22605
56,Sekou Doumbouya,16971
58,De'Andre Hunter,15855
61,Udonis Haslem,14368
71,Doug McDermott,9476
65,Thon Maker,11520
67,Kelly Olynyk,11378
68,Larry Nance Jr.,11265
70,Thomas Bryant,10495
85,Nicolas Batum,6315
82,Markieff Morris,6921
72,Chris Silva,9399
76,Dragan Bender,8671
77,Otto Porter,8652
83,Christian Wood,6813
86,Ignas Brazdeikis,6086
94,Cristiano Felício,4690
88,DeAndre' Bembry,5908
89,Thaddeus Young,5765
100,Taj Gibson,3796
97,Al-Farouq Aminu,4136
91,James Johnson,5557
103,Troy Brown Jr.,3453
96,Norvel Pelle,4338
105,Nicolas Claxton,3141
101,Wilson Chandler,3723
102,Jonah Bolden,3461
120,Khem Birch,1802
107,Chandler Parsons,2956
109,Damian Jones,2861
111,Cody Martin,2571
118,T.J. Leaf,1939
39,Daniel Theis,57690
126,KZ Okpala,1590
45,Robin Lopez,26843
47,Mitchell Robinson,24608
132,Amile Jefferson,893
51,Robert Williams,20945
52,Jonathan Isaac,20577
54,Rodions Kurucs,20050
59,Bruno Fernando,15204
62,Moritz Wagner,13815
63,Mike Scott,13297
64,Willy Hernangómez,11783
66,Alex Len,11490
69,Semi Ojeleye,10911
73,James Ennis,9344
74,Oshae Brissett,8938
75,D.J. Wilson,8871
78,Goga Bitadze,8378
79,Daniel Gafford,7168
80,Ante Žižić,7031
81,Cody Zeller,7022
84,Kevin Knox,6456
87,Vincent Poirier,6068
90,Bismack Biyombo,5757
92,Bobby Portis,4958
93,Malcolm Miller,4804
95,Ian Mahinmi,4507
98,Kyle O'Quinn,3920
99,Stanley Johnson,3866
104,Dewan Hernandez,3413
106,Dylan Windler,3013
108,Cameron Reynolds,2887
110,Chandler Hutchison,2687
111,Admiral Schofield,2571
113,Alfonzo McKinnie,2537
114,Marvin Williams,2146
115,Dean Wade,1964
116,Wesley Iwundu,1952
117,Michael Kidd-Gilchrist,1942
119,Luke Kornet,1892
121,Caleb Martin,1761
122,Alize Johnson,1703
123,Brian Bowen,1692
124,Tyler Cook,1686
125,Louis King,1648
127,Ivan Rabb,1556
128,John Henson,1546
129,JaKarr Sampson,1390
130,Henry Ellenson,1300
131,Jalen McDaniels,949
133,B.J. Johnson,892
134,Robert Franks,746
