rank,name,votes
1.,Charles Barkley,991408
2.,Larry Bird,852476
3.,Scottie Pippen,542191
4.,Detlef Schrempf,311862
5.,Chuck Person,309049
6.,Horace Grant,215661
7.,Dennis Rodman,197945
8.,Larry Johnson,189599
9.,Derrick Coleman,165817
10.,Dale Ellis,124202
