rank,name,votes
1.,Michael Jordan,1049573
2.,Isiah Thomas,549546
3.,Michael Adams,489291
4.,Reggie Miller,301701
5.,John Paxson,226930
6.,Kenny Anderson,205647
7.,Dee Brown,199468
8.,Mark Jackson,176122
9.,Reggie Lewis,152158
10.,Joe Dumars,144202
