name,votes,all_star_share
Michael Jordan,1049573,0.058
Charles Barkley,991408,0.055
Larry Bird,852476,0.047
Karl Malone,764633,0.042
Clyde Drexler,759550,0.042
Chris Mullin,751397,0.042
Magic Johnson,658211,0.036
Isiah Thomas,549546,0.03
Scottie Pippen,542191,0.03
Patrick Ewing,514874,0.028
David Robinson,512348,0.028
Dikembe Mutombo,505035,0.028
Michael Adams,489291,0.027
Tim Hardaway,446765,0.025
Tom Chambers,406185,0.022
Moses Malone,404903,0.022
Hakeem Olajuwon,357588,0.02
Billy Owens,335053,0.019
Mitch Richmond,325546,0.018
Dan Majerle,320220,0.018
Detlef Schrempf,311862,0.017
Kevin Johnson,309820,0.017
John Stockton,309590,0.017
Chuck Person,309049,0.017
Reggie Miller,301701,0.017
Pervis Ellison,275743,0.015
Brad Daugherty,271424,0.015
Jeff Hornacek,271180,0.015
Shawn Kemp,253747,0.014
Sean Elliott,230311,0.013
John Paxson,226930,0.013
Horace Grant,215661,0.012
Benoit Benjamin,215212,0.012
Willie Anderson,213037,0.012
Terry Cummings,209070,0.012
Rolando Blackman,206887,0.011
Kenny Anderson,205647,0.011
Sam Bowie,200722,0.011
Dee Brown,199468,0.011
Dennis Rodman,197945,0.011
Jerome Kersey,196082,0.011
Larry Johnson,189599,0.01
Mark Jackson,176122,0.01
Derrick Coleman,165817,0.009
Tony Campbell,160807,0.009
Kevin Duckworth,158391,0.009
Derek Harper,153820,0.009
Reggie Lewis,152158,0.008
Joe Dumars,144202,0.008
Dale Ellis,124202,0.007
