rank,name,votes
1.,Karl Malone,764633
2.,Chris Mullin,751397
3.,Tom Chambers,406185
4.,Billy Owens,335053
5.,Dan Majerle,320220
6.,Shawn Kemp,253747
7.,Sean Elliott,230311
8.,Terry Cummings,209070
9.,Jerome Kersey,196082
10.,Tony Campbell,160807
