name,votes,all_star_share
Yao Ming,2558578,0.067
Shaquille O'Neal,2488089,0.065
Kevin Garnett,2087200,0.054
Tracy McGrady,1993687,0.052
Kobe Bryant,1815952,0.047
Tim Duncan,1812522,0.047
Vince Carter,1803529,0.047
LeBron James,1661204,0.043
Allen Iverson,1590400,0.041
Grant Hill,1497489,0.039
Jermaine O'Neal,1432438,0.037
Dwyane Wade,1195888,0.031
Steve Nash,1148275,0.03
Steve Francis,996107,0.026
Rasheed Wallace,949598,0.025
Ray Allen,920130,0.024
Dirk Nowitzki,846912,0.022
Ben Wallace,798454,0.021
Jason Kidd,675884,0.018
Carmelo Anthony,662215,0.017
Amar'e Stoudemire,640370,0.017
Manu Ginóbili,568361,0.015
Richard Jefferson,442236,0.012
Brad Miller,429413,0.011
Antawn Jamison,416683,0.011
Emeka Okafor,408082,0.011
Tony Parker,405826,0.011
Mike Bibby,386308,0.01
Peja Stojaković,374588,0.01
Chris Webber,360511,0.009
Tayshaun Prince,349931,0.009
Chauncey Billups,324542,0.008
Richard Hamilton,315122,0.008
Marcus Camby,313214,0.008
Zydrunas Ilgauskas,306581,0.008
Stephon Marbury,301073,0.008
Shawn Marion,264203,0.007
Rasho Nesterović,256286,0.007
Pau Gasol,250844,0.007
Erick Dampier,245534,0.006
Lamar Odom,243203,0.006
Drew Gooden,241164,0.006
Paul Pierce,225037,0.006
Alonzo Mourning,223743,0.006
Baron Davis,221735,0.006
Michael Finley,219725,0.006
Dwight Howard,213641,0.006
Chris Bosh,208221,0.005
Gilbert Arenas,201859,0.005
Sam Cassell,157074,0.004
