rank,name,votes
1,Kevin Durant,2238406
3,Anthony Davis,1088230
4,DeMarcus Cousins,922269
2,Draymond Green,1135478
8,LaMarcus Aldridge,578853
5,Paul George,881287
9,Karl-Anthony Towns,552376
15,Clint Capela,175917
6,Kawhi Leonard,741838
7,Carmelo Anthony,612021
11,Steven Adams,360822
10,Kyle Kuzma,524927
14,Blake Griffin,194045
13,Brandon Ingram,230653
16,Pau Gasol,158330
17,Andrew Wiggins,138754
20,DeAndre Jordan,120399
24,Marc Gasol,80251
22,Nikola Jokić,114929
19,Jordan Bell,130915
23,Dirk Nowitzki,98794
18,Zaza Pachulia,134204
25,Trevor Ariza,70852
28,Rudy Gay,51456
34,Ryan Anderson,33494
30,Omri Casspi,47561
36,Jusuf Nurkić,26211
26,David West,66991
29,Julius Randle,48239
44,Taj Gibson,15417
37,Harrison Barnes,24636
31,Rudy Gobert,43741
42,Joe Ingles,18366
39,P.J. Tucker,21879
48,T.J. Warren,12473
41,Brook Lopez,18907
50,Zach Randolph,12280
54,Cole Aldrich,8972
51,Al-Farouq Aminu,11032
45,Kosta Koufos,13819
55,Tyson Chandler,8573
56,Alexis Ajinça,8007
62,Ed Davis,6920
52,Nemanja Bjelica,10690
53,Paul Millsap,10388
57,Willie Cauley-Stein,7657
59,Josh Jackson,7263
61,Ömer Aşık,6996
71,Marquese Chriss,5039
70,Joffrey Lauvergne,5132
72,Maurice Harkless,4979
68,Dragan Bender,5277
84,Ekpe Udoh,3951
76,Matt Costello,4598
78,Damian Jones,4328
86,Zach Collins,3832
81,Ivica Zubac,4169
82,Trey Lyles,4048
88,Gorgui Dieng,3611
99,Darius Miller,2707
12,Andre Iguodala,258417
101,Dwight Powell,2579
104,Justin Jackson,2356
21,Zhou Qi,117623
120,Deyonta Davis,1367
113,Nerlens Noel,1799
114,James Ennis,1732
27,JaVale McGee,65755
121,Royce O'Neale,1364
116,Dakari Johnson,1694
32,Kyle Anderson,38335
33,Dāvis Bertāns,33674
35,Larry Nance Jr.,33442
123,Willie Reed,1217
124,Brice Johnson,1090
38,Nenê,22502
40,Georgios Papagiannis,20082
128,JaKarr Sampson,1020
43,Luc Mbah a Moute,15856
131,Jack Cooley,956
46,Jerami Grant,13536
47,Derrick Favors,12491
135,Tyler Lydon,850
49,Danilo Gallinari,12296
138,Brandan Wright,739
58,Nick Collison,7445
60,Kevon Looney,7166
63,Tarik Black,6575
64,Andrew Bogut,5790
65,Thomas Bryant,5699
66,Patrick Patterson,5601
67,Kenneth Faried,5597
69,Sam Dekker,5274
73,Corey Brewer,4972
74,Chris Boucher,4751
75,Juan Hernangómez,4605
77,Richard Jefferson,4501
79,Maxi Kleber,4220
80,Josh Huestis,4188
83,Greg Monroe,4007
85,Montrezl Harrell,3892
87,Luol Deng,3690
89,Jonas Jerebko,3505
90,Thabo Sefolosha,3330
91,Meyers Leonard,3264
92,Harry Giles,3200
93,Skal Labissière,3107
94,Dillon Brooks,3090
95,Noah Vonleh,2968
96,Kyle Singler,2907
97,Alex Len,2790
98,Wilson Chandler,2768
100,Mason Plumlee,2622
102,Darrell Arthur,2523
103,Troy Williams,2386
105,Chandler Parsons,2353
106,JaMychal Green,2306
106,Anthony Brown,2306
108,Caleb Swanigan,2266
109,Salah Mejri,2264
110,Dante Cunningham,2067
111,Chinanu Onuaku,2012
112,Jared Dudley,1806
115,Wesley Johnson,1718
117,Tony Bradley,1692
118,Jake Layman,1684
119,Solomon Hill,1380
122,Dorian Finney-Smith,1291
125,Justin Patton,1081
126,Jamil Wilson,1054
127,Eric Griffin,1024
129,Cheick Diallo,963
130,Danuel House,962
132,Erik McCree,923
133,Josh McRoberts,918
134,Jarell Martin,917
136,Alan Williams,823
137,Ivan Rabb,796
139,Kyle Collinsworth,685
140,Alec Peters,646
141,Jalen Jones,617
142,Johnathan Motley,608
143,Vince Hunter,604
144,Myke Henry,316
145,Jeff Withey,136
146,Amile Jefferson,70
