rank,name,votes
1,Stephen Curry,2379494
3,James Harden,1486830
4,Russell Westbrook,1241129
5,Klay Thompson,1239768
7,Chris Paul,562428
9,Jimmy Butler,329435
2,Manu Ginóbili,1808860
8,Damian Lillard,439462
10,Devin Booker,268041
6,Lonzo Ball,607961
15,CJ McCollum,96818
12,Tony Parker,139487
13,Donovan Mitchell,139468
17,Lou Williams,70050
14,Eric Gordon,123412
11,Jordan Clarkson,188834
18,Andre Roberson,63984
23,Rajon Rondo,35281
20,Vince Carter,49215
22,Patty Mills,36836
25,J.J. Barea,32164
27,Álex Abrines,25921
21,Danny Green,48661
33,Tyreke Evans,16138
24,Bogdan Bogdanović,33842
32,Ricky Rubio,16243
30,Seth Curry,17834
39,Jrue Holiday,13508
41,Jamal Murray,13391
34,Jamal Crawford,15414
31,De'Aaron Fox,17127
43,Mike Conley,11835
38,Kentavious Caldwell-Pope,13760
42,Gary Harris,13348
46,Jeff Teague,9947
47,Rodney Hood,7742
40,Gerald Green,13500
47,Tony Allen,7742
54,Tyler Ulis,4452
52,Tyus Jones,5782
55,Will Barton,4106
59,Brandon Paul,3256
66,Wesley Matthews,2624
75,George Hill,2089
77,Briante Weber,1963
81,Pat Connaughton,1775
16,Nick Young,79650
83,Daniel Hamilton,1727
85,Emmanuel Mudiay,1671
19,Shaun Livingston,50631
87,Aaron Brooks,1613
90,Sindarius Thornwell,1354
26,Miloš Teodosić,26374
28,Patrick McCaw,21266
29,Dennis Smith Jr.,21205
35,Dejounte Murray,15023
36,Raymond Felton,14490
37,Bryn Forbes,13878
106,Wayne Selden,581
44,Josh Hart,11383
45,Terrance Ferguson,11378
49,Austin Rivers,7073
50,Quinn Cook,6902
51,Patrick Beverley,6725
53,Yogi Ferrell,4502
56,Buddy Hield,4002
57,Alex Caruso,3698
58,Joe Johnson,3363
60,Derrick White,3228
61,Wade Baldwin,3056
62,Dante Exum,2929
63,Shabazz Napier,2921
64,Tyler Ennis,2883
65,Vander Blue,2765
67,Malik Beasley,2554
68,Marcus Georges-Hunt,2505
69,Frank Mason III,2389
70,E'Twaun Moore,2338
71,Alec Burks,2300
72,Bobby Brown,2221
73,Darrun Hilliard,2187
74,Brandon Knight,2127
76,Evan Turner,1985
78,Mario Chalmers,1933
79,Isaiah Canaan,1855
80,Demetrius Jackson,1832
82,Raul Neto,1742
84,Troy Daniels,1694
86,Jawun Evans,1622
88,PJ Dozier,1610
89,C.J. Williams,1522
91,Devin Harris,1352
92,Shabazz Muhammad,1303
93,Ian Clark,1266
94,Frank Jackson,1144
95,Kobi Simmons,1055
96,Andrew Harrison,972
97,Mike James,942
98,Jameer Nelson,893
99,Torrey Craig,848
100,Naz Mitrou-Long,846
101,Tyrone Wallace,749
102,Ben McLemore,744
103,Davon Reed,669
104,Monte Morris,653
105,Malachi Richardson,601
107,Garrett Temple,580
108,C.J. Wilcox,529
109,Nate Wolters,514
110,Charles Cooke,446
111,R.J. Hunter,133
112,Antonius Cleveland,19
