name,votes,all_star_share
Channing Frye,14331,0.0
Bryn Forbes,13878,0.0
Kosta Koufos,13819,0.0
Kentavious Caldwell-Pope,13760,0.0
Jerami Grant,13536,0.0
Jrue Holiday,13508,0.0
Gerald Green,13500,0.0
Jakob Poeltl,13464,0.0
Jamal Murray,13391,0.0
Boban Marjanović,13377,0.0
Jabari Parker,13373,0.0
Gary Harris,13348,0.0
Matthew Dellavedova,13206,0.0
Quincy Acy,12948,0.0
Nikola Vučević,12734,0.0
Derrick Favors,12491,0.0
T.J. Warren,12473,0.0
Danilo Gallinari,12296,0.0
Daniel Theis,12290,0.0
Zach Randolph,12280,0.0
Josh Richardson,12167,0.0
Marco Belinelli,12068,0.0
Mike Conley,11835,0.0
Jarrett Allen,11705,0.0
Jonathon Simmons,11665,0.0
Markelle Fultz,11551,0.0
Josh Hart,11383,0.0
Terrance Ferguson,11378,0.0
Al-Farouq Aminu,11032,0.0
Thaddeus Young,10960,0.0
Kadeem Allen,10822,0.0
Nemanja Bjelica,10690,0.0
Arron Afflalo,10621,0.0
Robin Lopez,10517,0.0
Dion Waiters,10512,0.0
Paul Millsap,10388,0.0
Jarrett Jack,10265,0.0
Ron Baker,10238,0.0
Pascal Siakam,10131,0.0
Jeff Teague,9947,0.0
Reggie Jackson,9937,0.0
Markieff Morris,9492,0.0
Michael Kidd-Gilchrist,9353,0.0
Evan Fournier,9177,0.0
Cole Aldrich,8972,0.0
Iman Shumpert,8894,0.0
Furkan Korkmaz,8823,0.0
Nicolas Batum,8803,0.0
Tyson Chandler,8573,0.0
Doug McDermott,8558,0.0
Willy Hernangómez,8439,0.0
Rondae Hollis-Jefferson,8255,0.0
Kelly Olynyk,8008,0.0
Alexis Ajinça,8007,0.0
Nicolás Brussino,7945,0.0
Jahlil Okafor,7831,0.0
Rodney Hood,7742,0.0
Tony Allen,7742,0.0
Willie Cauley-Stein,7657,0.0
Joakim Noah,7548,0.0
James Johnson,7535,0.0
Nick Collison,7445,0.0
Josh Jackson,7263,0.0
Kevon Looney,7166,0.0
Darren Collison,7092,0.0
Austin Rivers,7073,0.0
Ömer Aşık,6996,0.0
Ed Davis,6920,0.0
Quinn Cook,6902,0.0
Frank Kaminsky,6875,0.0
Kyle O'Quinn,6764,0.0
Delon Wright,6757,0.0
Patrick Beverley,6725,0.0
Tarik Black,6575,0.0
John Collins,6509,0.0
DeMarre Carroll,6425,0.0
Wayne Ellington,6247,0.0
Dewayne Dedmon,6074,0.0
Mike Scott,6020,0.0
Bismack Biyombo,5841,0.0
Trevor Booker,5828,0.0
Andrew Bogut,5790,0.0
Tyus Jones,5782,0.0
Dwayne Bacon,5716,0.0
Thomas Bryant,5699,0.0
Fred VanVleet,5660,0.0
Caris LeVert,5623,0.0
Patrick Patterson,5601,0.0
Kenneth Faried,5597,0.0
Jerian Grant,5412,0.0
Ike Anigbogu,5391,0.0
Kent Bazemore,5336,0.0
Dragan Bender,5277,0.0
Sam Dekker,5274,0.0
Tyler Johnson,5205,0.0
Tony Snell,5144,0.0
Joffrey Lauvergne,5132,0.0
Jeremy Lamb,5094,0.0
Bruno Caboclo,5071,0.0
Denzel Valentine,5049,0.0
Justin Holiday,5046,0.0
Marquese Chriss,5039,0.0
Lucas Nogueira,4980,0.0
Maurice Harkless,4979,0.0
Corey Brewer,4972,0.0
Tyler Dorsey,4754,0.0
Chris Boucher,4751,0.0
Elfrid Payton,4717,0.0
Udonis Haslem,4702,0.0
Cristiano Felício,4693,0.0
Justin Anderson,4655,0.0
Bobby Portis,4638,0.0
Juan Hernangómez,4605,0.0
Matt Costello,4598,0.0
James Michael McAdoo,4564,0.0
Shane Larkin,4545,0.0
Yogi Ferrell,4502,0.0
Richard Jefferson,4501,0.0
Ryan Arcidiacono,4465,0.0
Tyler Ulis,4452,0.0
Mario Hezonja,4452,0.0
Malik Monk,4432,0.0
Damian Jones,4328,0.0
Luke Babbitt,4245,0.0
Treveon Graham,4227,0.0
Maxi Kleber,4220,0.0
Josh Huestis,4188,0.0
Cory Joseph,4185,0.0
Ivica Zubac,4169,0.0
Al Jefferson,4147,0.0
Guerschon Yabusele,4124,0.0
Will Barton,4106,0.0
Trey Lyles,4048,0.0
Allen Crabbe,4044,0.0
Greg Monroe,4007,0.0
Buddy Hield,4002,0.0
Ekpe Udoh,3951,0.0
Ante Žižić,3905,0.0
T.J. Leaf,3903,0.0
Montrezl Harrell,3892,0.0
Jason Terry,3862,0.0
Zach Collins,3832,0.0
Luke Kennard,3778,0.0
John Holland,3744,0.0
Jabari Bird,3744,0.0
Joe Harris,3705,0.0
Alex Caruso,3698,0.0
Luol Deng,3690,0.0
Richaun Holmes,3689,0.0
Semi Ojeleye,3673,0.0
Gorgui Dieng,3611,0.0
A.J. Hammons,3584,0.0
Jonas Jerebko,3505,0.0
D.J. Augustin,3499,0.0
Tomáš Satoranský,3423,0.0
Joe Johnson,3363,0.0
Cody Zeller,3332,0.0
Thabo Sefolosha,3330,0.0
Alex Poythress,3290,0.0
Meyers Leonard,3264,0.0
Abdel Nader,3258,0.0
Brandon Paul,3256,0.0
Derrick White,3228,0.0
Harry Giles,3200,0.0
Michael Carter-Williams,3194,0.0
Taurean Prince,3149,0.0
Justise Winslow,3113,0.0
Marreese Speights,3110,0.0
Skal Labissière,3107,0.0
Dillon Brooks,3090,0.0
Timofey Mozgov,3073,0.0
Amir Johnson,3068,0.0
Wade Baldwin,3056,0.0
Paul Zipser,3020,0.0
DeAndre' Bembry,3000,0.0
Noah Vonleh,2968,0.0
Dante Exum,2929,0.0
Shabazz Napier,2921,0.0
Kyle Singler,2907,0.0
Tyler Ennis,2883,0.0
Reggie Bullock,2864,0.0
Jerryd Bayless,2853,0.0
Lance Thomas,2852,0.0
Alex Len,2790,0.0
Langston Galloway,2772,0.0
Wilson Chandler,2768,0.0
Vander Blue,2765,0.0
Isaiah Hicks,2720,0.0
Joel Bolomboy,2716,0.0
D.J. Wilson,2713,0.0
Darius Miller,2707,0.0
Stanley Johnson,2695,0.0
Wesley Matthews,2624,0.0
Mason Plumlee,2622,0.0
Mirza Teletović,2614,0.0
Dwight Powell,2579,0.0
Malik Beasley,2554,0.0
Ian Mahinmi,2534,0.0
Darrell Arthur,2523,0.0
DeAndre Liggins,2512,0.0
Marcus Georges-Hunt,2505,0.0
Jamel Artis,2489,0.0
Ish Smith,2425,0.0
Henry Ellenson,2396,0.0
Marvin Williams,2393,0.0
Frank Mason III,2389,0.0
Troy Williams,2386,0.0
Justin Jackson,2356,0.0
Chandler Parsons,2353,0.0
E'Twaun Moore,2338,0.0
Antonio Blakeney,2328,0.0
JaMychal Green,2306,0.0
Anthony Brown,2306,0.0
Alec Burks,2300,0.0
London Perrantes,2282,0.0
Caleb Swanigan,2266,0.0
Salah Mejri,2264,0.0
Bobby Brown,2221,0.0
David Nwaba,2201,0.0
Khem Birch,2197,0.0
Darrun Hilliard,2187,0.0
Anthony Tolliver,2180,0.0
Jodie Meeks,2131,0.0
Tim Frazier,2130,0.0
Brandon Knight,2127,0.0
Tyler Zeller,2105,0.0
George Hill,2089,0.0
Jonathan Isaac,2080,0.0
Dante Cunningham,2067,0.0
Chinanu Onuaku,2012,0.0
Jason Smith,2010,0.0
Evan Turner,1985,0.0
Briante Weber,1963,0.0
Cameron Payne,1955,0.0
Mario Chalmers,1933,0.0
Isaiah Taylor,1931,0.0
Damyean Dotson,1929,0.0
Lorenzo Brown,1906,0.0
Tyler Cavanaugh,1896,0.0
Isaiah Canaan,1855,0.0
Malcolm Delaney,1850,0.0
Luke Kornet,1840,0.0
Demetrius Jackson,1832,0.0
Sterling Brown,1817,0.0
Jared Dudley,1806,0.0
Nerlens Noel,1799,0.0
Joe Young,1790,0.0
Pat Connaughton,1775,0.0
Glenn Robinson III,1775,0.0
Raul Neto,1742,0.0
James Ennis,1732,0.0
Daniel Hamilton,1727,0.0
Timothé Luwawu-Cabarrot,1722,0.0
Wesley Johnson,1718,0.0
Dakari Johnson,1694,0.0
Troy Daniels,1694,0.0
Tony Bradley,1692,0.0
Jake Layman,1684,0.0
Emmanuel Mudiay,1671,0.0
Jawun Evans,1622,0.0
Aaron Brooks,1613,0.0
PJ Dozier,1610,0.0
Miles Plumlee,1577,0.0
Sean Kilpatrick,1555,0.0
Rashad Vaughn,1544,0.0
C.J. Williams,1522,0.0
Nik Stauskas,1493,0.0
Chris McCullough,1487,0.0
Alfonzo McKinnie,1467,0.0
Solomon Hill,1380,0.0
Deyonta Davis,1367,0.0
Royce O'Neale,1364,0.0
Sindarius Thornwell,1354,0.0
Devin Harris,1352,0.0
Shabazz Muhammad,1303,0.0
Dorian Finney-Smith,1291,0.0
Dwight Buycks,1286,0.0
Mangok Mathiang,1268,0.0
Jon Leuer,1268,0.0
Ian Clark,1266,0.0
Okaro White,1263,0.0
Marcus Paige,1262,0.0
Jordan Mickey,1250,0.0
Sheldon Mac,1234,0.0
Devin Robinson,1232,0.0
Willie Reed,1217,0.0
Wesley Iwundu,1211,0.0
Josh Magette,1203,0.0
Luis Montero,1195,0.0
Terrence Ross,1177,0.0
Frank Jackson,1144,0.0
Malcolm Miller,1143,0.0
Derrick Jones Jr.,1115,0.0
Johnny O'Bryant,1109,0.0
Isaiah Whitehead,1091,0.0
Brice Johnson,1090,0.0
Justin Patton,1081,0.0
Kobi Simmons,1055,0.0
Jamil Wilson,1054,0.0
Quincy Pondexter,1053,0.0
Shelvin Mack,1050,0.0
Ramon Sessions,1035,0.0
Eric Griffin,1024,0.0
JaKarr Sampson,1020,0.0
Andrew Harrison,972,0.0
Cheick Diallo,963,0.0
Danuel House,962,0.0
Jack Cooley,956,0.0
Mike James,942,0.0
Rodney McGruder,926,0.0
Erik McCree,923,0.0
Josh McRoberts,918,0.0
Jarell Martin,917,0.0
Jameer Nelson,893,0.0
Adreian Payne,873,0.0
Derrick Walton,862,0.0
Tyler Lydon,850,0.0
Torrey Craig,848,0.0
Naz Mitrou-Long,846,0.0
Gary Payton II,834,0.0
Alan Williams,823,0.0
Ivan Rabb,796,0.0
Jacob Wiley,794,0.0
James Young,791,0.0
Damien Wilkins,790,0.0
Tyrone Wallace,749,0.0
Ben McLemore,744,0.0
Brandan Wright,739,0.0
Kyle Collinsworth,685,0.0
Mike Muscala,677,0.0
Davon Reed,669,0.0
Monte Morris,653,0.0
Milton Doyle,652,0.0
Alec Peters,646,0.0
Eric Moreland,630,0.0
Jalen Jones,617,0.0
Michael Young,612,0.0
Johnathan Motley,608,0.0
Vince Hunter,604,0.0
Malachi Richardson,601,0.0
Wayne Selden,581,0.0
Garrett Temple,580,0.0
Jacob Pullen,548,0.0
C.J. Wilcox,529,0.0
Nate Wolters,514,0.0
Julyan Stone,453,0.0
Charles Cooke,446,0.0
Edmond Sumner,444,0.0
Xavier Munford,427,0.0
Trey Burke,401,0.0
Myke Henry,316,0.0
Ben Moore,267,0.0
Matt Williams,207,0.0
Yakuba Ouattara,195,0.0
Kay Felder,185,0.0
Jeff Withey,136,0.0
R.J. Hunter,133,0.0
Reggie Hearn,108,0.0
Andrew White,104,0.0
Amile Jefferson,70,0.0
James Webb III,56,0.0
Antonius Cleveland,19,0.0
Mindaugas Kuzminskas,4,0.0
