name,votes,all_star_share
LeBron James,2638294,0.059
Giannis Antetokounmpo,2530211,0.057
Stephen Curry,2379494,0.053
Kevin Durant,2238406,0.05
Kyrie Irving,2170833,0.048
Manu Ginóbili,1808860,0.04
James Harden,1486830,0.033
Joel Embiid,1285587,0.029
Russell Westbrook,1241129,0.028
Klay Thompson,1239768,0.028
Draymond Green,1135478,0.025
Kristaps Porziņģis,1116769,0.025
Anthony Davis,1088230,0.024
DeMar DeRozan,998999,0.022
DeMarcus Cousins,922269,0.021
Paul George,881287,0.02
Kevin Love,771929,0.017
Kawhi Leonard,741838,0.017
Ben Simmons,669397,0.015
Victor Oladipo,634495,0.014
Dwyane Wade,617271,0.014
Carmelo Anthony,612021,0.014
Lonzo Ball,607961,0.014
LaMarcus Aldridge,578853,0.013
Chris Paul,562428,0.013
Karl-Anthony Towns,552376,0.012
John Wall,542836,0.012
Kyle Kuzma,524927,0.012
Isaiah Thomas,449091,0.01
Damian Lillard,439462,0.01
Jayson Tatum,422620,0.009
Al Horford,384936,0.009
Steven Adams,360822,0.008
Jimmy Butler,329435,0.007
Kyle Lowry,322036,0.007
Enes Kanter,294926,0.007
Bradley Beal,269238,0.006
Devin Booker,268041,0.006
Andre Iguodala,258417,0.006
Brandon Ingram,230653,0.005
Andre Drummond,220736,0.005
Jaylen Brown,205104,0.005
Blake Griffin,194045,0.004
Jordan Clarkson,188834,0.004
Dwight Howard,186844,0.004
Clint Capela,175917,0.004
Pau Gasol,158330,0.004
Derrick Rose,146481,0.003
Tony Parker,139487,0.003
Donovan Mitchell,139468,0.003
Andrew Wiggins,138754,0.003
Zaza Pachulia,134204,0.003
Jordan Bell,130915,0.003
Eric Bledsoe,124232,0.003
Eric Gordon,123412,0.003
DeAndre Jordan,120399,0.003
Zhou Qi,117623,0.003
Serge Ibaka,117077,0.003
Nikola Jokić,114929,0.003
Khris Middleton,109913,0.002
Kemba Walker,100632,0.002
Kyle Korver,99576,0.002
Dirk Nowitzki,98794,0.002
CJ McCollum,96818,0.002
Hassan Whiteside,85802,0.002
Aaron Gordon,82507,0.002
Cedi Osman,80610,0.002
Marc Gasol,80251,0.002
Nick Young,79650,0.002
Gordon Hayward,79261,0.002
Trevor Ariza,70852,0.002
Jeff Green,70349,0.002
Lou Williams,70050,0.002
David West,66991,0.001
JaVale McGee,65755,0.001
Andre Roberson,63984,0.001
Goran Dragić,63387,0.001
Michael Beasley,62966,0.001
Jonas Valančiūnas,62472,0.001
Tim Hardaway Jr.,57357,0.001
Jae Crowder,55405,0.001
Myles Turner,52214,0.001
Rudy Gay,51456,0.001
Shaun Livingston,50631,0.001
J.R. Smith,49454,0.001
Vince Carter,49215,0.001
Danny Green,48661,0.001
Tristan Thompson,48564,0.001
Julius Randle,48239,0.001
Omri Casspi,47561,0.001
OG Anunoby,44290,0.001
Rudy Gobert,43741,0.001
Lauri Markkanen,43622,0.001
Tobias Harris,40136,0.001
Malcolm Brogdon,39598,0.001
D'Angelo Russell,38712,0.001
Kyle Anderson,38335,0.001
Patty Mills,36836,0.001
Dario Šarić,36736,0.001
Otto Porter,36302,0.001
Rajon Rondo,35281,0.001
Bogdan Bogdanović,33842,0.001
Dāvis Bertāns,33674,0.001
Ryan Anderson,33494,0.001
Larry Nance Jr.,33442,0.001
J.J. Redick,32874,0.001
J.J. Barea,32164,0.001
Nikola Mirotić,32075,0.001
Aron Baynes,31523,0.001
Robert Covington,31097,0.001
Spencer Dinwiddie,30782,0.001
Jeremy Lin,30526,0.001
Marcus Smart,29252,0.001
Frank Ntilikina,28456,0.001
Domantas Sabonis,27989,0.001
Kelly Oubre Jr.,27847,0.001
Zach LaVine,27614,0.001
Miloš Teodosić,26374,0.001
Jusuf Nurkić,26211,0.001
Álex Abrines,25921,0.001
Dennis Schröder,25531,0.001
Marcus Morris,25191,0.001
Harrison Barnes,24636,0.001
Marcin Gortat,23934,0.001
Nenê,22502,0.001
Courtney Lee,22226,0.0
P.J. Tucker,21879,0.0
Patrick McCaw,21266,0.0
Lance Stephenson,21254,0.0
Dennis Smith Jr.,21205,0.0
Bam Adebayo,21028,0.0
Ersan İlyasova,20404,0.0
Georgios Papagiannis,20082,0.0
Avery Bradley,19318,0.0
José Calderón,19280,0.0
Thon Maker,19158,0.0
Brook Lopez,18907,0.0
Joe Ingles,18366,0.0
Seth Curry,17834,0.0
C.J. Miles,17766,0.0
Terry Rozier,17728,0.0
De'Aaron Fox,17127,0.0
Kris Dunn,16981,0.0
John Henson,16459,0.0
Bojan Bogdanović,16441,0.0
Ricky Rubio,16243,0.0
Tyreke Evans,16138,0.0
Luc Mbah a Moute,15856,0.0
Norman Powell,15432,0.0
Taj Gibson,15417,0.0
Jamal Crawford,15414,0.0
Dejounte Murray,15023,0.0
T.J. McConnell,14657,0.0
Raymond Felton,14490,0.0
