name,votes,all_star_share
Stephen Curry,1513324,0.069
LeBron James,1470483,0.067
Anthony Davis,1369911,0.062
Kobe Bryant,1152402,0.052
James Harden,1069368,0.049
Pau Gasol,974177,0.044
John Wall,886368,0.04
Kyle Lowry,805290,0.037
Marc Gasol,795121,0.036
Dwyane Wade,789839,0.036
Blake Griffin,700615,0.032
Carmelo Anthony,647005,0.029
Marcin Gortat,570005,0.026
Chris Paul,551167,0.025
Tim Duncan,546817,0.025
Kevin Durant,545226,0.025
Chris Bosh,542006,0.025
Kyrie Irving,535873,0.024
LaMarcus Aldridge,498131,0.023
DeMarcus Cousins,465334,0.021
Jimmy Butler,455756,0.021
Kevin Love,386208,0.018
Derrick Rose,379994,0.017
Damian Lillard,365417,0.017
Dwight Howard,348275,0.016
Klay Thompson,314254,0.014
Dirk Nowitzki,292557,0.013
Russell Westbrook,248758,0.011
Jonas Valančiūnas,231741,0.011
Rajon Rondo,219506,0.01
Jeremy Lin,216246,0.01
Joakim Noah,203718,0.009
DeMar DeRozan,159123,0.007
Rudy Gay,144702,0.007
Kawhi Leonard,132150,0.006
Nikola Vučević,129293,0.006
Paul Millsap,121938,0.006
DeAndre Jordan,117816,0.005
Al Horford,114955,0.005
Al Jefferson,110980,0.005
Serge Ibaka,107223,0.005
Kevin Garnett,106820,0.005
Nikola Mirotić,103645,0.005
Mike Conley,103015,0.005
Draymond Green,99039,0.004
Tyson Chandler,98654,0.004
Andre Drummond,86717,0.004
Jeff Teague,83900,0.004
Lou Williams,82135,0.004
Giannis Antetokounmpo,55014,0.002
