rank,name,votes
1.,Stephen Curry,1513324
2.,Kobe Bryant,1152402
3.,James Harden,1069368
4.,Chris Paul,551167
5.,Damian Lillard,365417
6.,Klay Thompson,314254
7.,Russell Westbrook,248758
8.,Rajon Rondo,219506
9.,Jeremy Lin,216246
10.,Mike Conley,103015
