name,votes,all_star_share
George Gervin,286463,0.079
Kareem Abdul-Jabbar,201621,0.055
Magic Johnson,185754,0.051
Moses Malone,184410,0.051
Julius Erving,180160,0.049
Marques Johnson,158253,0.043
World B. Free,155836,0.043
Eddie Johnson,149678,0.041
Adrian Dantley,145724,0.04
Darryl Dawkins,135372,0.037
Jack Sikma,134474,0.037
John Drew,133317,0.037
Armond Hill,132288,0.036
Dennis Johnson,129664,0.036
Paul Westphal,127409,0.035
Kevin Porter,127167,0.035
Dan Roundfield,126006,0.035
Gus Williams,121107,0.033
Lonnie Shelton,120636,0.033
Dave Cowens,117331,0.032
James Silas,116492,0.032
Larry Bird,114485,0.031
Larry Kenon,106100,0.029
Walter Davis,100546,0.028
Maurice Lucas,84165,0.023
Dan Issel,72818,0.02
