name,votes,all_star_share
Yao Ming,2342738,0.059
Kobe Bryant,2271631,0.058
LeBron James,2207697,0.056
Shaquille O'Neal,2192542,0.056
Allen Iverson,2062206,0.052
Tracy McGrady,1818932,0.046
Steve Nash,1818230,0.046
Tim Duncan,1518796,0.039
Dwyane Wade,1499664,0.038
Kevin Garnett,1479386,0.038
Vince Carter,1294373,0.033
Jermaine O'Neal,1291836,0.033
Ben Wallace,1234687,0.031
Manu Ginóbili,900935,0.023
Rasheed Wallace,866932,0.022
Marcus Camby,859086,0.022
Chauncey Billups,717006,0.018
Ray Allen,693892,0.018
Pau Gasol,662916,0.017
Tony Parker,646739,0.016
Dirk Nowitzki,626083,0.016
Jason Kidd,594352,0.015
Chris Webber,584579,0.015
Metta World Peace,502886,0.013
Mehmet Okur,494261,0.013
Grant Hill,482336,0.012
Tayshaun Prince,481652,0.012
Richard Hamilton,474895,0.012
Carmelo Anthony,458410,0.012
Gilbert Arenas,453971,0.012
Elton Brand,442056,0.011
Paul Pierce,441218,0.011
Steve Francis,438892,0.011
Baron Davis,416811,0.011
Chris Bosh,352033,0.009
Richard Jefferson,307771,0.008
Jason Richardson,303362,0.008
Dwight Howard,299876,0.008
Shawn Marion,285505,0.007
David Wesley,280296,0.007
Chris Mihm,276556,0.007
Amar'e Stoudemire,270109,0.007
Mike Bibby,266378,0.007
Zydrunas Ilgauskas,244322,0.006
Sam Cassell,242456,0.006
Brad Miller,222383,0.006
T.J. Ford,210570,0.005
Andrew Bogut,209705,0.005
Gary Payton,194424,0.005
Michael Olowokandi,147110,0.004
