name,votes,all_star_share
LeBron James,2549693,0.062
Kobe Bryant,2456224,0.06
Dwight Howard,2360096,0.057
Dwyane Wade,2327550,0.057
Carmelo Anthony,2137560,0.052
Kevin Garnett,1978116,0.048
Amar'e Stoudemire,1824093,0.044
Allen Iverson,1269568,0.031
Steve Nash,1222235,0.03
Chris Bosh,1164007,0.028
Tim Duncan,1156696,0.028
Dirk Nowitzki,1093005,0.027
Chris Paul,1055789,0.026
Pau Gasol,1051785,0.026
Vince Carter,1048977,0.026
Tracy McGrady,1022492,0.025
Andrew Bynum,981355,0.024
Kevin Durant,870567,0.021
Shaquille O'Neal,856056,0.021
Ray Allen,710045,0.017
Trevor Ariza,645937,0.016
Aaron Brooks,591930,0.014
Luis Scola,580243,0.014
Derrick Rose,571911,0.014
Gilbert Arenas,545860,0.013
Paul Pierce,525677,0.013
Jason Kidd,523708,0.013
Joe Johnson,496255,0.012
Josh Smith,475671,0.012
Manu Ginóbili,465211,0.011
Chauncey Billups,452983,0.011
Tony Parker,439536,0.011
Rajon Rondo,425590,0.01
Brandon Roy,422290,0.01
Metta World Peace,368281,0.009
Nenê Hilário,364534,0.009
Shawn Marion,363516,0.009
Marc Gasol,353155,0.009
Antonio McDyess,328717,0.008
Andre Iguodala,313827,0.008
Danny Granger,309808,0.008
LaMarcus Aldridge,309497,0.008
Rashard Lewis,302743,0.007
José Calderón,292909,0.007
Michael Beasley,277400,0.007
Al Horford,270532,0.007
Andrea Bargnani,265024,0.006
Mike Bibby,223759,0.005
Brook Lopez,223246,0.005
Hedo Türkoğlu,213369,0.005
