name,votes,all_star_share
Moses Malone,927779,0.074
Magic Johnson,788954,0.063
Julius Erving,779932,0.062
George Gervin,648607,0.051
Larry Bird,598705,0.047
Sidney Moncrief,574926,0.046
Isiah Thomas,527370,0.042
Alex English,510853,0.04
Kareem Abdul-Jabbar,459088,0.036
Ralph Sampson,457271,0.036
Maurice Cheeks,435041,0.034
Adrian Dantley,422060,0.033
Rickey Green,418050,0.033
Kiki Vandeweghe,398372,0.032
Dennis Johnson,392667,0.031
Kelly Tripucka,390881,0.031
Norm Nixon,384502,0.03
Artis Gilmore,345352,0.027
Dan Issel,327147,0.026
Johnny Davis,323926,0.026
Darrell Griffith,309979,0.025
John Drew,303370,0.024
Maurice Lucas,302258,0.024
Marques Johnson,283630,0.022
Tree Rollins,264448,0.021
Cedric Maxwell,260577,0.021
Jack Sikma,228578,0.018
Bill Laimbeer,200733,0.016
Robert Parish,200426,0.016
Kevin McHale,154963,0.012
