name,votes,all_star_share
Michael Jordan,1028235,0.065
Grant Hill,838692,0.053
Karl Malone,616251,0.039
Shaquille O'Neal,565184,0.036
Gary Payton,555715,0.035
David Robinson,548633,0.035
Shawn Kemp,518361,0.033
Kevin Garnett,513325,0.033
Anfernee Hardaway,509626,0.032
Charles Barkley,479005,0.03
Dikembe Mutombo,476432,0.03
Scottie Pippen,475894,0.03
Patrick Ewing,441347,0.028
Tim Duncan,423970,0.027
Kobe Bryant,395686,0.025
Alonzo Mourning,363765,0.023
Vin Baker,360079,0.023
Tim Hardaway,349621,0.022
John Stockton,344259,0.022
Allen Iverson,338413,0.022
Dennis Rodman,333865,0.021
Stephon Marbury,331749,0.021
Hakeem Olajuwon,325072,0.021
Jason Kidd,305834,0.019
Eddie Jones,300658,0.019
Glen Rice,270277,0.017
Clyde Drexler,238150,0.015
Nick Van Exel,232274,0.015
Reggie Miller,221814,0.014
Tom Gugliotta,211402,0.013
Mitch Richmond,197695,0.013
Detlef Schrempf,191963,0.012
Chris Webber,190360,0.012
Luc Longley,166984,0.011
Shareef Abdur-Rahim,159069,0.01
Avery Johnson,147485,0.009
Antoine Walker,137994,0.009
Sean Elliott,136943,0.009
Christian Laettner,133293,0.008
Mookie Blaylock,130202,0.008
Bob Sura,130198,0.008
Damon Stoudamire,129223,0.008
Keith Van Horn,128873,0.008
Joe Dumars,127929,0.008
Toni Kukoč,120894,0.008
Sam Perkins,117958,0.008
Rik Smits,117744,0.007
Rasheed Wallace,116865,0.007
Steve Smith,114982,0.007
Arvydas Sabonis,107445,0.007
