rank,name,votes
1.,Grant Hill,838692
2.,Shawn Kemp,518361
3.,Scottie Pippen,475894
4.,Dennis Rodman,333865
5.,Glen Rice,270277
6.,Chris Webber,190360
7.,Antoine Walker,137994
8.,Christian Laettner,133293
9.,Keith Van Horn,128873
10.,Toni Kukoč,120894
