rank,name,votes
1.,Ralph Sampson,611480
2.,James Worthy,588778
3.,Kelly Tripucka,392852
4.,Alex English,343348
5.,Mark Aguirre,339337
6.,Karl Malone,337266
7.,Larry Nance,314193
8.,Mike Mitchell,313899
9.,Kiki Vandeweghe,311235
10.,Eddie Johnson,298695
