name,votes,all_star_share
Michael Jordan,1141733,0.055
Dominique Wilkins,1029131,0.049
Magic Johnson,949304,0.045
Larry Bird,902701,0.043
Julius Erving,819468,0.039
Hakeem Olajuwon,792148,0.038
Isiah Thomas,713173,0.034
Ralph Sampson,611480,0.029
James Worthy,588778,0.028
Kareem Abdul-Jabbar,572779,0.027
Moses Malone,565491,0.027
Robert Parish,510471,0.024
Charles Barkley,479176,0.023
Alvin Robertson,457251,0.022
Kevin McHale,455859,0.022
Bill Laimbeer,432104,0.021
Kelly Tripucka,392852,0.019
Mark Eaton,385642,0.018
Darrell Griffith,380505,0.018
Adrian Dantley,360290,0.017
Spud Webb,346346,0.017
Alex English,343348,0.016
Mark Aguirre,339337,0.016
Karl Malone,337266,0.016
Dennis Johnson,330272,0.016
Clyde Drexler,321679,0.015
Patrick Ewing,319491,0.015
Larry Nance,314193,0.015
Derek Harper,314124,0.015
Mike Mitchell,313899,0.015
Kiki Vandeweghe,311235,0.015
Vinnie Johnson,311090,0.015
Robert Reid,311075,0.015
Rolando Blackman,307838,0.015
Reggie Theus,300142,0.014
Eddie Johnson,298695,0.014
Marques Johnson,292621,0.014
Fat Lever,283252,0.014
Sidney Moncrief,268519,0.013
Charles Oakley,256809,0.012
Artis Gilmore,255397,0.012
Jack Sikma,251838,0.012
Doc Rivers,242040,0.012
Terry Cummings,223645,0.011
Wayman Tisdale,211221,0.01
Jeff Malone,206255,0.01
Kevin Willis,204209,0.01
Jay Vincent,202055,0.01
Sam Bowie,200979,0.01
Maurice Cheeks,174512,0.008
