name,votes,all_star_share
Julius Erving,432230,0.064
Larry Bird,380485,0.056
Isiah Thomas,367969,0.054
George Gervin,343977,0.051
Kareem Abdul-Jabbar,283821,0.042
Artis Gilmore,270313,0.04
Tiny Archibald,253282,0.037
Gus Williams,245373,0.036
Darryl Dawkins,245124,0.036
Adrian Dantley,237272,0.035
Reggie Theus,235586,0.035
Lonnie Shelton,234330,0.035
Fred Brown,222957,0.033
Dennis Johnson,220914,0.033
Moses Malone,216802,0.032
Jack Sikma,215447,0.032
Sidney Moncrief,215065,0.032
Magic Johnson,212518,0.031
John Drew,207493,0.031
Elvin Hayes,194443,0.029
Dan Roundfield,194187,0.029
Mark Aguirre,189063,0.028
Bernard King,188213,0.028
John Long,167065,0.025
Bob Lanier,152512,0.023
Kent Benson,148646,0.022
Alvan Adams,134441,0.02
Tree Rollins,128939,0.019
George Johnson,121136,0.018
Steve Hawes,102297,0.015
