rank,name,votes
1.,Larry Bird,747005
2.,Dominique Wilkins,694354
3.,Charles Barkley,687785
4.,Kevin McHale,350912
5.,Adrian Dantley,335865
6.,Chuck Person,306645
7.,Buck Williams,291116
8.,Bernard King,285588
9.,Kevin Willis,247285
10.,Charles Oakley,241123
