name,votes,all_star_share
Vince Carter,1717687,0.053
Shaquille O'Neal,1541298,0.048
Allen Iverson,1508142,0.046
Kobe Bryant,1433747,0.044
Chris Webber,1306243,0.04
Tim Duncan,1096522,0.034
Jason Kidd,1062837,0.033
Kevin Garnett,1003336,0.031
Jason Williams,925310,0.029
Alonzo Mourning,917866,0.028
Grant Hill,904885,0.028
Tracy McGrady,827122,0.025
Latrell Sprewell,817855,0.025
Gary Payton,732671,0.023
David Robinson,716228,0.022
Vlade Divac,715687,0.022
Tim Hardaway,691895,0.021
Brian Grant,670923,0.021
Theo Ratliff,637585,0.02
Dikembe Mutombo,627148,0.019
Reggie Miller,622978,0.019
Scottie Pippen,587767,0.018
Jermaine O'Neal,524506,0.016
Eddie Jones,519132,0.016
Derek Anderson,514605,0.016
Stephon Marbury,512645,0.016
Rasheed Wallace,510543,0.016
Sean Elliott,505751,0.016
Steve Francis,504162,0.016
Karl Malone,479624,0.015
Allan Houston,476380,0.015
Jerry Stackhouse,459575,0.014
Avery Johnson,452147,0.014
Anfernee Hardaway,430632,0.013
Jamal Mashburn,425558,0.013
Andre Miller,415382,0.013
Ray Allen,409654,0.013
John Stockton,408819,0.013
Antawn Jamison,399561,0.012
Patrick Ewing,395068,0.012
Horace Grant,368378,0.011
Glen Rice,346328,0.011
Antoine Walker,339974,0.01
Anthony Mason,322696,0.01
Elton Brand,315723,0.01
Marcus Camby,295763,0.009
Zydrunas Ilgauskas,288183,0.009
Michael Finley,279250,0.009
Shareef Abdur-Rahim,254598,0.008
Raef LaFrentz,217233,0.007
