rank,name,votes
1.,Vince Carter,1717687
2.,Grant Hill,904885
3.,Latrell Sprewell,817855
4.,Brian Grant,670923
5.,Jamal Mashburn,425558
6.,Glen Rice,346328
7.,Antoine Walker,339974
8.,Anthony Mason,322696
9.,Elton Brand,315723
10.,Marcus Camby,295763
