;fga;fg3a;fta;per;ts_pct;usg_pct;bpm;season;player;win_pct;votes_first;points_won;points_max;award_share;g;mp_per_g;pts_per_g;trb_perg;ast_per_g;stl_per_g;blk_per_g;fg_pct;fg3_pct;ft_pct;ws;ws_per_48;all_star_votes;all_star_share;Decision
298;15.apr;0.4;10.feb;22.jul;0.584;28.jan;4.apr;1995-96;Alonzo Mourning;0.5121951219512195;0.0;6.0;1130.0;0.005;70.0;38.2;23.feb;10.apr;2.mar;1.0;2.jul;0.523;0.3;0.685;9.sep;0.178;664927;0.02;0.005
299;4.avg;0.4;1.jul;13.jun;0.501;10.mar;3.feb;1995-96;Dennis Rodman;0.8780487804878049;0.0;4.0;1130.0;0.004;64.0;32.6;5.maj;14.sep;2.maj;0.6;0.4;0.48;0.111;0.528;6.feb;0.143;0;0;0.004
300;14.jun;3.jan;5.jan;25.feb;0.573;27.jun;6.0;1995-96;Terrell Brandon;0.573170731707317;0.0;3.0;1130.0;0.003;75.0;34.3;19.mar;3.mar;6.maj;1.avg;0.4;0.465;0.387;0.887;12.jul;0.237;0;0;0.003
301;16.sep;6.apr;6.jan;19.feb;0.591;26.sep;2.sep;1995-96;Mitch Richmond;0.47560975609756095;0.0;3.0;1130.0;0.003;81.0;36.4;23.jan;3.mar;3.jan;1.maj;0.2;0.447;0.437;0.866;9.mar;0.151;0;0;0.003
302;19.feb;0.2;8.apr;28.sep;0.6;32.7;8.maj;1996-97;Karl Malone;0.7804878048780488;63.0;986.0;1150.0;0.857;82.0;36.6;27.apr;9.sep;4.maj;1.apr;0.6;0.55;0.0;0.755;16.jul;0.268;986028;0.036;0.857
303;23.jan;3.jun;7.0;27.avg;0.567;33.2;6.jul;1996-97;Michael Jordan;0.8414634146341463;52.0;957.0;1150.0;0.832;82.0;37.9;29.jun;5.sep;4.mar;1.jul;0.5;0.486;0.374;0.833;18.mar;0.283;1341422;0.049;0.832
304;15.jul;0.4;7.sep;25.maj;0.556;28.mar;8.0;1996-97;Grant Hill;0.6585365853658537;0.0;376.0;1150.0;0.327;80.0;39.3;21.apr;9.0;7.mar;1.avg;0.6;0.496;0.303;0.711;14.jun;0.223;1358004;0.05;0.327
305;17.jan;7.mar;4.maj;20.avg;0.532;26.jun;5.jan;1996-97;Tim Hardaway;0.7439024390243902;0.0;238.0;1150.0;0.207;81.0;38.7;20.mar;3.apr;8.jun;1.sep;0.1;0.415;0.344;0.799;12.sep;0.198;440291;0.016;0.207
306;19.feb;5.jun;6.avg;19.jul;0.605;26.sep;1.feb;1996-97;Glen Rice;0.6585365853658537;0.0;134.0;1150.0;0.117;79.0;42.6;26.avg;4.0;2.0;0.9;0.3;0.477;0.47;0.867;10.avg;0.154;296143;0.011;0.117
307;18.jan;4.jun;4.mar;21.avg;0.545;26.apr;5.jun;1996-97;Gary Payton;0.6951219512195121;0.0;105.0;1150.0;0.091;82.0;39.2;21.avg;4.jun;7.jan;2.apr;0.2;0.476;0.313;0.715;12.sep;0.193;0;0;0.091
308;18.mar;0.2;5.jul;22.jul;0.558;30.apr;3.feb;1996-97;Hakeem Olajuwon;0.6951219512195121;0.0;95.0;1150.0;0.083;78.0;36.6;23.feb;9.feb;3.0;1.maj;2.feb;0.51;0.313;0.787;9.jan;0.154;1240329;0.045;0.083
309;17.feb;0.1;7.maj;21.mar;0.548;29.avg;1.jul;1996-97;Patrick Ewing;0.6951219512195121;0.0;57.0;1150.0;0.05;78.0;37.0;22.apr;10.jul;2.0;0.9;2.apr;0.488;0.222;0.754;9.avg;0.163;437003;0.016;0.05
310;11.mar;0.0;5.sep;18.sep;0.585;17.jun;4.maj;1996-97;Anthony Mason;0.6585365853658537;0.0;7.0;1150.0;0.006;73.0;43.1;16.feb;11.apr;5.jul;1.0;0.5;0.525;0.333;0.745;11.apr;0.173;198273;0.007;0.006
311;19.apr;0.1;9.apr;27.jan;0.556;31.jan;6.mar;1996-97;Shaquille O'Neal;0.6829268292682927;0.0;7.0;1150.0;0.006;51.0;38.1;26.feb;12.maj;3.jan;0.9;2.sep;0.557;0.0;0.484;8.0;0.197;1290591;0.047;0.006
312;16.jul;5.feb;3.maj;21.mar;0.554;24.jun;6.jun;1996-97;Scottie Pippen;0.8414634146341463;0.0;6.0;1150.0;0.005;82.0;37.7;20.feb;6.maj;5.jul;1.sep;0.5;0.474;0.368;0.701;13.jan;0.203;1289649;0.047;0.005
313;13.apr;0.1;8.jun;21.jun;0.578;27.maj;2.jul;1996-97;Alonzo Mourning;0.7439024390243902;0.0;5.0;1150.0;0.004;66.0;35.2;19.avg;9.sep;1.jun;0.8;2.sep;0.534;0.111;0.642;8.apr;0.174;647899;0.024;0.004
314;9.0;0.0;5.apr;19.0;0.584;17.apr;3.feb;1996-97;Dikembe Mutombo;0.6829268292682927;0.0;4.0;1150.0;0.003;80.0;37.2;13.mar;11.jun;1.apr;0.6;3.mar;0.527;0.0;0.705;11.mar;0.183;369053;0.013;0.003
315;19.maj;5.sep;6.jun;21.jun;0.578;29.apr;3.mar;1996-97;Mitch Richmond;0.4146341463414634;0.0;4.0;1150.0;0.003;81.0;38.6;25.sep;3.sep;4.feb;1.maj;0.3;0.454;0.428;0.861;10.avg;0.166;323619;0.012;0.003
316;9.mar;2.feb;4.0;22.jan;0.656;18.apr;3.sep;1996-97;John Stockton;0.7804878048780488;0.0;3.0;1150.0;0.003;82.0;35.3;14.apr;2.avg;10.maj;2.0;0.2;0.548;0.422;0.846;13.jun;0.226;823826;0.03;0.003
317;13.jan;3.sep;7.avg;23.0;0.581;23.feb;7.jan;1996-97;Charles Barkley;0.6951219512195121;0.0;2.0;1150.0;0.002;53.0;37.9;19.feb;13.maj;4.jul;1.mar;0.5;0.484;0.283;0.694;9.apr;0.224;1268195;0.046;0.002
318;16.maj;1.jan;7.0;19.0;0.526;27.maj;2.0;1996-97;Tom Gugliotta;0.4878048780487805;0.0;1.0;1150.0;0.001;81.0;38.7;20.jun;8.jul;4.jan;1.jun;1.jan;0.442;0.258;0.82;6.jul;0.103;0;0;0.001
319;19.avg;6.0;7.feb;18.0;0.513;28.sep;1.maj;1996-97;Allen Iverson;0.2682926829268293;0.0;1.0;1150.0;0.001;76.0;40.1;23.maj;4.jan;7.maj;2.jan;0.3;0.416;0.341;0.702;4.jan;0.065;0;0;0.001
320;12.jul;2.sep;7.apr;22.sep;0.631;22.jun;4.feb;1996-97;Kevin Johnson;0.4878048780487805;0.0;1.0;1150.0;0.001;70.0;38.0;20.jan;3.jun;9.mar;1.maj;0.2;0.496;0.441;0.852;11.jul;0.211;0;0;0.001
321;15.sep;5.apr;5.maj;17.apr;0.548;25.0;1.mar;1996-97;Steve Smith;0.6829268292682927;0.0;1.0;1150.0;0.001;72.0;39.1;20.jan;3.mar;4.feb;0.9;0.3;0.429;0.335;0.847;9.jan;0.154;0;0;0.001
322;23.jan;1.maj;8.avg;25.feb;0.533;33.7;4.jun;1997-98;Michael Jordan;0.7560975609756098;92.0;1084.0;1160.0;0.934;82.0;38.8;28.jul;5.avg;3.maj;1.jul;0.5;0.465;0.238;0.784;15.avg;0.238;2451136;0.073;0.934
323;18.feb;0.1;10.feb;27.sep;0.597;31.avg;7.0;1997-98;Karl Malone;0.7560975609756098;20.0;842.0;1160.0;0.726;81.0;37.4;27.0;10.mar;3.sep;1.feb;0.9;0.53;0.333;0.761;16.apr;0.259;1337319;0.04;0.726
324;15.jun;4.avg;4.jun;21.jun;0.544;24.jun;5.0;1997-98;Gary Payton;0.7439024390243902;3.0;431.0;1160.0;0.372;82.0;38.4;19.feb;4.jun;8.mar;2.mar;0.2;0.453;0.338;0.744;12.maj;0.19;1206539;0.036;0.372
325;19.jan;0.0;11.apr;28.avg;0.587;32.9;4.jun;1997-98;Shaquille O'Neal;0.7439024390243902;1.0;311.0;1160.0;0.268;60.0;36.3;28.mar;11.apr;2.apr;0.7;2.apr;0.584;0.0;0.527;10.feb;0.224;1305941;0.039;0.268
326;15.jul;0.1;5.sep;22.jun;0.577;26.0;5.maj;1997-98;Tim Duncan;0.6829268292682927;0.0;148.0;1160.0;0.128;82.0;39.1;21.jan;11.sep;2.jul;0.7;2.maj;0.549;0.0;0.662;12.avg;0.192;0;0;0.128
327;16.0;5.maj;4.jan;20.jun;0.53;25.jun;4.jun;1997-98;Tim Hardaway;0.6707317073170732;0.0;71.0;1160.0;0.061;81.0;37.4;18.sep;3.jul;8.mar;1.jul;0.2;0.431;0.351;0.781;11.jul;0.185;309220;0.009;0.061
328;14.jun;0.1;9.0;27.avg;0.581;29.jul;7.avg;1997-98;David Robinson;0.6829268292682927;0.0;36.0;1160.0;0.031;73.0;33.7;21.jun;10.jun;2.jul;0.9;2.jun;0.511;0.25;0.735;13.avg;0.269;753247;0.023;0.031
329;14.feb;0.1;6.apr;20.apr;0.564;24.jul;2.0;1997-98;Vin Baker;0.7439024390243902;0.0;24.0;1160.0;0.021;82.0;35.9;19.feb;8.0;1.sep;1.jan;1.0;0.542;0.143;0.591;10.apr;0.169;269994;0.008;0.021
330;16.avg;0.3;8.0;21.feb;0.52;27.mar;4.avg;1997-98;Grant Hill;0.45121951219512196;0.0;23.0;1160.0;0.02;81.0;40.7;21.jan;7.jul;6.avg;1.avg;0.7;0.452;0.143;0.74;10.feb;0.149;1868020;0.056;0.02
331;16.0;4.apr;4.apr;20.apr;0.533;24.apr;5.avg;1997-98;Scottie Pippen;0.7560975609756098;0.0;14.0;1160.0;0.012;44.0;37.5;19.jan;5.feb;5.avg;1.avg;1.0;0.447;0.318;0.777;6.jun;0.193;1683956;0.05;0.012
332;16.sep;3.jul;6.jan;17.apr;0.568;25.jan;0.7;1997-98;Glen Rice;0.6219512195121951;0.0;7.0;1160.0;0.006;82.0;40.2;22.mar;4.mar;2.feb;0.9;0.3;0.457;0.433;0.849;9.mar;0.136;199216;0.006;0.006
333;20.avg;3.jun;5.avg;17.avg;0.481;29.feb;0.7;1997-98;Antoine Walker;0.43902439024390244;0.0;6.0;1160.0;0.005;82.0;39.9;22.apr;10.feb;3.mar;1.jul;0.7;0.423;0.312;0.645;4.jul;0.07;0;0;0.005
334;10.maj;2.avg;2.maj;16.apr;0.502;17.jun;3.jan;1997-98;Jason Kidd;0.6829268292682927;0.0;5.0;1160.0;0.004;82.0;38.0;11.jun;6.feb;9.jan;2.0;0.3;0.416;0.313;0.799;8.0;0.123;911858;0.027;0.004
335;8.0;1.apr;3.jun;21.avg;0.628;19.mar;2.jun;1997-98;John Stockton;0.7560975609756098;0.0;5.0;1160.0;0.004;64.0;29.0;12.0;2.jun;8.maj;1.apr;0.2;0.528;0.429;0.827;8.0;0.206;1127250;0.034;0.004
336;17.apr;4.avg;6.jul;20.apr;0.569;27.avg;2.mar;1997-98;Mitch Richmond;0.32926829268292684;0.0;3.0;1160.0;0.003;70.0;36.7;23.feb;3.mar;4.0;1.mar;0.2;0.445;0.389;0.864;7.sep;0.148;347195;0.01;0.003
337;13.mar;4.jul;5.apr;19.avg;0.619;23.sep;4.mar;1997-98;Reggie Miller;0.7073170731707317;0.0;2.0;1160.0;0.002;81.0;34.5;19.maj;2.sep;2.jan;1.0;0.1;0.477;0.429;0.868;12.0;0.206;506553;0.015;0.002
338;14.feb;0.0;3.mar;19.sep;0.532;29.feb;0.3;1997-98;Rik Smits;0.7073170731707317;0.0;2.0;1160.0;0.002;73.0;28.jun;16.jul;6.sep;1.apr;0.5;1.feb;0.495;0.0;0.783;6.jan;0.141;0;0;0.002
339;18.apr;3.0;5.jan;19.mar;0.522;25.jul;2.apr;1997-98;Michael Finley;0.24390243902439024;0.0;1.0;1160.0;0.001;82.0;41.4;21.maj;5.mar;4.sep;1.jun;0.4;0.449;0.357;0.784;7.maj;0.106;209611;0.006;0.001
340;14.sep;0.6;6.maj;19.jun;0.501;23.jul;2.jun;1997-98;Rod Strickland;0.5121951219512195;0.0;1.0;1160.0;0.001;76.0;39.7;17.avg;5.mar;10.maj;1.jul;0.3;0.434;0.25;0.726;8.jan;0.129;0;0;0.001
341;16.mar;0.0;9.avg;25.jun;0.577;30.maj;6.avg;1998-99;Karl Malone;0.74;44.0;827.0;1180.0;0.701;49.0;37.4;23.avg;9.apr;4.jan;1.mar;0.6;0.493;0.0;0.788;9.jun;0.252;616251;0.039;0.701
342;13.avg;0.0;9.feb;24.jun;0.563;27.jan;4.avg;1998-99;Alonzo Mourning;0.66;36.0;773.0;1180.0;0.655;46.0;38.1;20.jan;11.0;1.jun;0.7;3.sep;0.511;0.0;0.652;7.sep;0.216;363765;0.023;0.655
343;16.sep;0.1;7.feb;23.feb;0.541;27.feb;4.sep;1998-99;Tim Duncan;0.74;30.0;740.0;1180.0;0.627;50.0;39.3;21.jul;11.apr;2.apr;0.9;2.maj;0.495;0.143;0.69;8.jul;0.213;423970;0.027;0.627
344;22.0;4.jan;9.sep;22.feb;0.508;32.6;4.jun;1998-99;Allen Iverson;0.56;5.0;319.0;1180.0;0.27;48.0;41.5;26.avg;4.sep;4.jun;2.mar;0.1;0.412;0.291;0.751;7.feb;0.173;338413;0.022;0.27
345;14.0;2.maj;4.avg;22.maj;0.527;21.apr;5.avg;1998-99;Jason Kidd;0.54;2.0;159.0;1180.0;0.135;50.0;41.2;16.sep;6.avg;10.avg;2.mar;0.4;0.444;0.366;0.757;8.jan;0.188;305834;0.019;0.135
346;18.jan;0.0;10.feb;30.jun;0.584;32.4;6.mar;1998-99;Shaquille O'Neal;0.62;1.0;89.0;1180.0;0.075;49.0;34.8;26.mar;10.jul;2.mar;0.7;1.jul;0.576;0.0;0.54;9.0;0.255;565184;0.036;0.075
347;18.maj;0.8;4.jan;19.maj;0.491;24.sep;3.0;1998-99;Chris Webber;0.54;0.0;51.0;1180.0;0.043;42.0;40.9;20.0;13.0;4.jan;1.apr;2.jan;0.486;0.118;0.454;3.jun;0.102;190360;0.012;0.043
348;16.0;0.3;7.jun;23.sep;0.543;29.jun;6.0;1998-99;Grant Hill;0.58;0.0;39.0;1180.0;0.033;50.0;37.0;21.jan;7.jan;6.0;1.jun;0.5;0.479;0.0;0.752;7.mar;0.189;838692;0.053;0.033
349;18.maj;5.jun;5.maj;23.jan;0.519;27.jan;5.apr;1998-99;Gary Payton;0.5;0.0;35.0;1180.0;0.03;50.0;40.2;21.jul;4.sep;8.jul;2.feb;0.2;0.434;0.295;0.721;7.feb;0.172;555715;0.035;0.03
350;19.jan;0.3;4.apr;22.apr;0.493;27.avg;5.jul;1998-99;Kevin Garnett;0.5;0.0;9.0;1180.0;0.008;47.0;37.9;20.avg;10.apr;4.mar;1.jul;1.avg;0.46;0.286;0.704;5.apr;0.146;513325;0.033;0.008
351;13.jul;0.0;9.mar;23.jun;0.578;28.sep;4.jul;1998-99;Shawn Kemp;0.44;0.0;7.0;1180.0;0.006;42.0;35.1;20.maj;9.feb;2.apr;1.jan;1.jan;0.482;0.5;0.789;6.mar;0.205;518361;0.033;0.006
352;10.avg;0.0;7.apr;24.sep;0.564;23.avg;7.apr;1998-99;David Robinson;0.74;0.0;6.0;1180.0;0.005;49.0;31.jul;15.avg;10.0;2.jan;1.apr;2.apr;0.509;0.0;0.658;8.apr;0.261;548633;0.035;0.005
353;14.maj;0.3;5.apr;23.jan;0.559;25.sep;2.sep;1998-99;Hakeem Olajuwon;0.62;0.0;3.0;1180.0;0.003;50.0;35.7;18.sep;9.jun;1.avg;1.jun;2.maj;0.514;0.308;0.717;6.maj;0.175;325072;0.021;0.003
354;9.jun;0.5;3.maj;20.apr;0.546;21.jul;4.mar;1998-99;Arvydas Sabonis;0.7;0.0;3.0;1180.0;0.003;50.0;27.0;12.jan;7.sep;2.apr;0.7;1.mar;0.485;0.292;0.771;5.avg;0.207;107445;0.007;0.003
355;10.apr;3.avg;3.jun;22.feb;0.575;22.sep;5.sep;1998-99;Darrell Armstrong;0.66;0.0;2.0;1180.0;0.002;50.0;30.0;13.avg;3.jun;6.jul;2.feb;0.1;0.441;0.365;0.904;6.apr;0.205;0;0;0.002
356;15.mar;1.mar;5.apr;19.jun;0.516;25.jun;1.sep;1998-99;Vince Carter;0.46;0.0;1.0;1180.0;0.001;50.0;35.2;18.mar;5.jul;3.0;1.jan;1.maj;0.45;0.288;0.761;5.0;0.136;0;0;0.001
357;14.mar;2.avg;4.feb;16.jul;0.488;22.apr;3.jun;1998-99;Anfernee Hardaway;0.66;0.0;1.0;1180.0;0.001;50.0;38.9;15.avg;5.jul;5.mar;2.feb;0.5;0.42;0.286;0.706;5.0;0.122;509626;0.032;0.001
358;6.jul;2.jan;1.jun;17.sep;0.513;16.0;1.maj;1998-99;Mark Jackson;0.66;0.0;1.0;1180.0;0.001;49.0;28.feb;7.jun;3.avg;7.sep;0.9;0.1;0.419;0.311;0.823;3.avg;0.134;0;0;0.001
359;16.jan;1.jul;3.apr;19.jul;0.523;28.feb;0.9;1998-99;Glenn Robinson;0.56;0.0;1.0;1180.0;0.001;47.0;33.6;18.apr;5.sep;2.jan;1.0;0.9;0.459;0.392;0.87;4.0;0.122;0;0;0.001
360;15.0;3.sep;6.mar;17.sep;0.526;26.apr;3.feb;1998-99;Steve Smith;0.62;0.0;1.0;1180.0;0.001;36.0;36.5;18.jul;4.feb;3.mar;1.0;0.3;0.402;0.338;0.849;4.apr;0.162;114982;0.007;0.001
361;9.jul;0.6;3.jul;16.jul;0.566;20.maj;1.sep;1998-99;Rasheed Wallace;0.7;0.0;1.0;1180.0;0.001;49.0;28.sep;12.avg;4.sep;1.feb;1.0;1.jan;0.508;0.419;0.732;5.0;0.169;116865;0.007;0.001
362;21.jan;0.0;10.apr;30.jun;0.578;31.2;9.jul;1999-00;Shaquille O'Neal;0.8170731707317073;120.0;1207.0;1210.0;0.998;79.0;40.0;29.jul;13.jun;3.avg;0.5;3.0;0.574;0.0;0.524;18.jun;0.283;0;0;0.998
363;18.avg;1.0;5.0;23.jun;0.545;27.apr;6.jan;1999-00;Kevin Garnett;0.6097560975609756;0.0;408.0;1210.0;0.337;81.0;40.0;22.sep;11.avg;5.0;1.maj;1.jun;0.497;0.37;0.765;11.jun;0.172;0;0;0.337
364;15.0;0.1;7.apr;25.avg;0.596;28.jan;4.jun;1999-00;Alonzo Mourning;0.6341463414634146;0.0;367.0;1210.0;0.303;79.0;34.8;21.jul;9.maj;1.jun;0.5;3.jul;0.551;0.0;0.711;12.sep;0.226;0;0;0.303
365;18.0;0.1;9.0;27.jan;0.582;31.9;6.sep;1999-00;Karl Malone;0.6707317073170732;0.0;312.0;1210.0;0.258;82.0;35.9;25.maj;9.maj;3.jul;1.0;0.9;0.509;0.25;0.797;15.mar;0.249;0;0;0.258
366;17.mar;0.1;8.jan;24.avg;0.555;28.jul;6.jan;1999-00;Tim Duncan;0.6463414634146342;0.0;248.0;1210.0;0.205;74.0;38.9;23.feb;12.apr;3.feb;0.9;2.feb;0.49;0.091;0.761;13.0;0.218;0;0;0.205
367;20.mar;6.mar;5.feb;23.jun;0.535;26.avg;6.avg;1999-00;Gary Payton;0.5487804878048781;0.0;180.0;1210.0;0.149;82.0;41.8;24.feb;6.maj;8.sep;1.sep;0.2;0.448;0.34;0.735;13.sep;0.195;0;0;0.149
368;24.avg;3.jul;8.sep;20.0;0.496;34.4;2.jun;1999-00;Allen Iverson;0.5975609756097561;1.0;132.0;1210.0;0.109;70.0;40.8;28.apr;3.avg;4.jul;2.jan;0.1;0.421;0.341;0.713;6.sep;0.116;0;0;0.109
369;19.feb;1.mar;8.feb;24.maj;0.565;30.maj;4.avg;1999-00;Grant Hill;0.5121951219512195;0.0;113.0;1210.0;0.093;74.0;37.5;25.avg;6.jun;5.feb;1.apr;0.6;0.489;0.347;0.795;10.jul;0.185;0;0;0.093
370;20.jun;1.mar;5.maj;23.apr;0.53;28.feb;5.sep;1999-00;Chris Webber;0.5365853658536586;0.0;96.0;1210.0;0.079;75.0;38.4;24.maj;10.maj;4.jun;1.jun;1.jul;0.483;0.284;0.751;10.jul;0.179;0;0;0.079
371;20.jul;2.sep;6.jul;23.apr;0.543;30.0;4.jun;1999-00;Vince Carter;0.5487804878048781;0.0;51.0;1210.0;0.042;82.0;38.1;25.jul;5.avg;3.sep;1.mar;1.jan;0.465;0.403;0.791;11.avg;0.182;0;0;0.042
372;12.avg;2.maj;3.jul;18.apr;0.498;20.0;4.jan;1999-00;Jason Kidd;0.6463414634146342;0.0;25.0;1210.0;0.021;67.0;39.0;14.mar;7.feb;10.jan;2.0;0.4;0.409;0.337;0.829;8.maj;0.156;0;0;0.021
373;17.sep;2.feb;6.jan;21.jul;0.546;26.avg;5.mar;1999-00;Kobe Bryant;0.8170731707317073;0.0;3.0;1210.0;0.002;66.0;38.2;22.maj;6.mar;4.sep;1.jun;0.9;0.468;0.319;0.821;10.jun;0.202;0;0;0.002
374;13.jun;4.sep;3.0;19.maj;0.542;23.sep;4.apr;1999-00;Darrell Armstrong;0.5;0.0;1.0;1210.0;0.001;82.0;31.6;16.feb;3.mar;6.jan;2.jan;0.1;0.433;0.34;0.911;8.0;0.149;0;0;0.001
375;20.0;3.0;3.sep;19.feb;0.522;25.jan;2.apr;1999-00;Michael Finley;0.4878048780487805;0.0;1.0;1210.0;0.001;82.0;42.2;22.jun;6.mar;5.mar;1.mar;0.4;0.457;0.401;0.82;8.mar;0.114;0;0;0.001
376;12.sep;5.0;5.0;17.mar;0.603;20.maj;3.mar;1999-00;Reggie Miller;0.6829268292682927;0.0;1.0;1210.0;0.001;81.0;36.9;18.jan;3.0;2.mar;1.0;0.3;0.448;0.408;0.919;10.jan;0.162;0;0;0.001
377;15.0;2.maj;3.avg;16.jul;0.547;23.feb;2.jan;1999-00;Jalen Rose;0.6829268292682927;0.0;1.0;1210.0;0.001;80.0;37.2;18.feb;4.avg;4.0;1.jan;0.6;0.471;0.393;0.827;7.mar;0.118;0;0;0.001
378;25.maj;4.mar;10.jan;24.0;0.518;35.9;4.avg;2000-01;Allen Iverson;0.6829268292682927;93.0;1121.0;1240.0;0.904;71.0;42.0;31.jan;3.avg;4.jun;2.maj;0.3;0.42;0.32;0.814;11.avg;0.19;1843011;0.065;0.904
379;17.jan;0.3;8.jan;23.avg;0.536;28.jul;5.apr;2000-01;Tim Duncan;0.7073170731707317;18.0;706.0;1240.0;0.569;82.0;38.7;22.feb;12.feb;3.0;0.9;2.mar;0.499;0.259;0.618;13.feb;0.2;1321436;0.047;0.569
380;19.feb;0.0;13.jan;30.2;0.574;31.6;7.mar;2000-01;Shaquille O'Neal;0.6829268292682927;7.0;578.0;1240.0;0.466;74.0;39.5;28.jul;12.jul;3.jul;0.6;2.avg;0.572;0.0;0.513;14.sep;0.245;1807609;0.064;0.466
381;23.apr;0.4;6.jun;24.jul;0.516;31.6;4.sep;2000-01;Chris Webber;0.6707317073170732;5.0;521.0;1240.0;0.42;70.0;40.5;27.jan;11.jan;4.feb;1.mar;1.jul;0.481;0.071;0.703;11.0;0.186;661865;0.023;0.42
382;18.feb;0.8;5.avg;23.sep;0.531;27.0;5.jul;2000-01;Kevin Garnett;0.573170731707317;1.0;151.0;1240.0;0.122;81.0;39.5;22.0;11.apr;5.0;1.apr;1.avg;0.477;0.288;0.764;11.avg;0.176;1550976;0.055;0.122
383;22.apr;2.feb;7.jun;24.sep;0.521;31.2;5.jun;2000-01;Tracy McGrady;0.524390243902439;0.0;64.0;1240.0;0.052;77.0;40.1;26.avg;7.maj;4.jun;1.maj;1.maj;0.457;0.355;0.733;12.feb;0.189;228439;0.008;0.052
384;16.jun;0.1;8.mar;24.jul;0.572;30.0;5.sep;2000-01;Karl Malone;0.6463414634146342;0.0;21.0;1240.0;0.017;81.0;35.7;23.feb;8.mar;4.maj;1.jan;0.8;0.498;0.4;0.793;13.jan;0.217;327599;0.012;0.017
385;14.feb;3.0;5.feb;19.apr;0.51;22.jul;4.avg;2000-01;Jason Kidd;0.6219512195121951;0.0;18.0;1240.0;0.015;77.0;39.8;16.sep;6.apr;9.avg;2.feb;0.3;0.411;0.297;0.814;9.jun;0.15;1061031;0.037;0.015
386;22.feb;2.sep;8.feb;24.maj;0.552;31.avg;4.feb;2000-01;Kobe Bryant;0.6829268292682927;0.0;11.0;1240.0;0.009;68.0;40.9;28.maj;5.sep;5.0;1.jul;0.6;0.464;0.305;0.853;11.mar;0.196;1022897;0.036;0.009
387;10.mar;0.0;5.sep;23.jul;0.559;22.avg;5.maj;2000-01;David Robinson;0.7073170731707317;0.0;8.0;1240.0;0.006;80.0;29.jun;14.apr;8.jun;1.maj;1.0;2.maj;0.486;0.0;0.747;12.jan;0.246;595451;0.021;0.006
388;16.0;5.jul;4.avg;22.sep;0.61;24.apr;5.jun;2000-01;Ray Allen;0.6341463414634146;0.0;7.0;1240.0;0.006;82.0;38.2;22.0;5.feb;4.jun;1.maj;0.2;0.48;0.433;0.888;13.jul;0.211;443295;0.016;0.006
389;22.jan;5.mar;6.jul;25.0;0.551;30.jul;7.0;2000-01;Vince Carter;0.573170731707317;0.0;7.0;1240.0;0.006;75.0;39.7;27.jun;5.maj;3.sep;1.maj;1.jan;0.46;0.408;0.765;12.sep;0.208;1911973;0.068;0.006
390;18.maj;4.jul;9.0;22.mar;0.563;30.jun;3.feb;2000-01;Paul Pierce;0.43902439024390244;0.0;5.0;1240.0;0.004;82.0;38.0;25.mar;6.apr;3.jan;1.jul;0.8;0.454;0.383;0.745;10.apr;0.16;166401;0.006;0.004
391;24.jan;5.sep;10.jan;21.avg;0.521;35.2;3.jul;2000-01;Jerry Stackhouse;0.3902439024390244;0.0;3.0;1240.0;0.002;80.0;40.2;29.avg;3.sep;5.jan;1.feb;0.7;0.402;0.351;0.822;9.feb;0.137;0;0;0.002
392;18.sep;3.feb;4.0;18.feb;0.521;24.sep;2.mar;2000-01;Michael Finley;0.6463414634146342;0.0;1.0;1240.0;0.001;82.0;42.0;21.maj;5.feb;4.apr;1.apr;0.4;0.458;0.346;0.775;8.maj;0.119;197431;0.007;0.001
393;11.sep;0.0;5.sep;17.apr;0.555;20.0;2.jul;2000-01;Anthony Mason;0.6097560975609756;0.0;1.0;1240.0;0.001;80.0;40.7;16.jan;9.jun;3.jan;1.0;0.3;0.482;0.0;0.781;11.jun;0.171;0;0;0.001
394;7.sep;1.jun;3.apr;22.mar;0.61;18.avg;3.maj;2000-01;John Stockton;0.6463414634146342;0.0;1.0;1240.0;0.001;82.0;29.feb;11.maj;2.avg;8.jul;1.jun;0.3;0.504;0.462;0.817;10.avg;0.216;259563;0.009;0.001
395;18.mar;0.1;8.maj;27.0;0.576;29.0;7.jun;2001-02;Tim Duncan;0.7073170731707317;57.0;954.0;1260.0;0.757;82.0;40.6;25.maj;12.jul;3.jul;0.7;2.maj;0.508;0.1;0.799;17.avg;0.257;1096522;0.034;0.757
396;13.sep;4.apr;3.0;19.jan;0.484;22.maj;5.jan;2001-02;Jason Kidd;0.6341463414634146;45.0;897.0;1260.0;0.712;82.0;37.3;14.jul;7.mar;9.sep;2.jan;0.2;0.391;0.321;0.814;8.sep;0.14;1062837;0.033;0.712
397;18.mar;0.0;10.jul;29.jul;0.59;31.avg;7.0;2001-02;Shaquille O'Neal;0.7073170731707317;15.0;696.0;1260.0;0.552;67.0;36.1;27.feb;10.jul;3.0;0.6;2.0;0.579;0.0;0.555;13.feb;0.262;1541298;0.048;0.552
398;20.sep;3.jul;7.mar;25.jan;0.532;31.jan;6.0;2001-02;Tracy McGrady;0.5365853658536586;7.0;390.0;1260.0;0.31;76.0;38.3;25.jun;7.sep;5.mar;1.jun;1.0;0.451;0.364;0.748;11.maj;0.189;827122;0.025;0.31
