	per	bpm	award_share	pts_per_g	ws	ws_per_48	all_star_share
per	1.0	0.769630579836736	0.5947413211767008	0.6941285599169397	0.7604614785847736	0.8491757546022788	0.5034535831737574
bpm	0.769630579836736	1.0	0.5770490892413223	0.38433023260911686	0.7410854783617316	0.7973782892524583	0.41506016557740893
award_share	0.5947413211767008	0.5770490892413223	1.0	0.42999796537885254	0.6300160578930598	0.5983422186620813	0.42473055665258713
pts_per_g	0.6941285599169397	0.38433023260911686	0.42999796537885254	1.0	0.4963204525823321	0.39142296966792955	0.3770963316982753
ws	0.7604614785847736	0.7410854783617316	0.6300160578930598	0.4963204525823321	1.0	0.8674823121319397	0.3597560536026754
ws_per_48	0.8491757546022788	0.7973782892524583	0.5983422186620813	0.39142296966792955	0.8674823121319397	1.0	0.4117464513156283
all_star_share	0.5034535831737574	0.41506016557740893	0.42473055665258713	0.3770963316982753	0.3597560536026754	0.4117464513156283	1.0
