name,votes,all_star_share
Michael Jordan,1035824,0.059
Scottie Pippen,932912,0.053
Charles Barkley,858947,0.049
Shaquille O'Neal,826767,0.047
Clyde Drexler,823482,0.047
Larry Johnson,658236,0.038
David Robinson,603696,0.034
Patrick Ewing,576368,0.033
Karl Malone,563627,0.032
Chris Mullin,515779,0.029
John Stockton,507951,0.029
Shawn Kemp,489281,0.028
Tim Hardaway,481090,0.027
Hakeem Olajuwon,422755,0.024
Isiah Thomas,397747,0.023
Lionel Simmons,392991,0.022
Mitch Richmond,391943,0.022
Dominique Wilkins,380958,0.022
Dikembe Mutombo,364334,0.021
Jeff Hornacek,346793,0.02
Brad Daugherty,329639,0.019
Terry Porter,328206,0.019
Mark Price,327964,0.019
Muggsy Bogues,284838,0.016
Alonzo Mourning,278532,0.016
Billy Owens,276914,0.016
Horace Grant,275425,0.016
Šarūnas Marčiulionis,255797,0.015
Derrick Coleman,250233,0.014
Duane Causwell,239171,0.014
Bill Cartwright,235442,0.013
Reggie Lewis,214372,0.012
Dennis Rodman,193752,0.011
Kevin Johnson,188545,0.011
Buck Williams,182806,0.01
Joe Dumars,181253,0.01
Kevin Duckworth,181226,0.01
Dražen Petrović,151239,0.009
Walt Williams,147934,0.008
Blue Edwards,142286,0.008
Derrick McKey,141883,0.008
Jeff Malone,141262,0.008
Dennis Scott,137277,0.008
Kevin McHale,131334,0.007
Reggie Miller,126515,0.007
Nick Anderson,126067,0.007
Tyrone Corbin,125125,0.007
Kevin Willis,124017,0.007
Ricky Pierce,123496,0.007
Sean Elliott,111398,0.006
