name,votes,all_star_share
LeBron James,1416419,0.068
Kevin Durant,1396294,0.067
Paul George,1211318,0.058
Stephen Curry,1047281,0.05
Kobe Bryant,988884,0.048
Carmelo Anthony,935702,0.045
Dwyane Wade,929542,0.045
Kyrie Irving,860221,0.041
Chris Paul,804309,0.039
Blake Griffin,688466,0.033
Kevin Love,661246,0.032
Dwight Howard,653318,0.031
Jeremy Lin,628818,0.03
LaMarcus Aldridge,609172,0.029
Roy Hibbert,524809,0.025
Tim Duncan,492657,0.024
James Harden,470381,0.023
Chris Bosh,406867,0.02
John Wall,393129,0.019
Derrick Rose,359546,0.017
Russell Westbrook,317338,0.015
Anthony Davis,286247,0.014
Damian Lillard,280966,0.014
Andre Iguodala,266611,0.013
Tony Parker,258751,0.012
DeMarcus Cousins,255005,0.012
Ray Allen,250909,0.012
Pau Gasol,247323,0.012
David Lee,232210,0.011
Kevin Garnett,209398,0.01
Dirk Nowitzki,201873,0.01
Joakim Noah,181145,0.009
Rajon Rondo,174654,0.008
Chandler Parsons,174512,0.008
Andre Drummond,163798,0.008
Klay Thompson,162984,0.008
Lance Stephenson,148382,0.007
Tyson Chandler,137512,0.007
DeMar DeRozan,131228,0.006
Ömer Aşık,130344,0.006
George Hill,129533,0.006
Andrew Bogut,127947,0.006
Deron Williams,126423,0.006
Ricky Rubio,124230,0.006
Luol Deng,121754,0.006
Jeff Green,121040,0.006
Carlos Boozer,103502,0.005
David West,95363,0.005
Paul Pierce,95034,0.005
Josh Smith,75433,0.004
