rank,name,votes
1.,Kevin Durant,1396294
2.,Blake Griffin,688466
3.,Kevin Love,661246
4.,Dwight Howard,653318
5.,LaMarcus Aldridge,609172
6.,Tim Duncan,492657
7.,Anthony Davis,286247
8.,Andre Iguodala,266611
9.,DeMarcus Cousins,255005
10.,Pau Gasol,247323
11.,David Lee,232210
12.,Dirk Nowitzki,201873
13.,Chandler Parsons,174512
14.,Ömer Aşık,130344
15.,Andrew Bogut,127947
