rank,name,votes
1.,LeBron James,1416419
2.,Paul George,1211318
3.,Carmelo Anthony,935702
4.,Roy Hibbert,524809
5.,Chris Bosh,406867
6.,Kevin Garnett,209398
7.,Joakim Noah,181145
8.,Andre Drummond,163798
9.,Tyson Chandler,137512
10.,Luol Deng,121754
11.,Jeff Green,121040
12.,Carlos Boozer,103502
13.,David West,95363
14.,Paul Pierce,95034
15.,Josh Smith,75433
