rank,name,votes
1.,Dwyane Wade,929542
2.,Kyrie Irving,860221
3.,John Wall,393129
4.,Derrick Rose,359546
5.,Ray Allen,250909
6.,Rajon Rondo,174654
7.,Lance Stephenson,148382
8.,DeMar DeRozan,131228
9.,George Hill,129533
10.,Deron Williams,126423
