name,votes,all_star_share
Kobe Bryant,1591437,0.076
LeBron James,1583646,0.076
Kevin Durant,1504047,0.072
Carmelo Anthony,1460950,0.07
Dwyane Wade,1052310,0.05
Chris Paul,929155,0.044
Rajon Rondo,924180,0.044
Dwight Howard,922070,0.044
Jeremy Lin,883809,0.042
Blake Griffin,863832,0.041
Kevin Garnett,553222,0.026
Chris Bosh,528014,0.025
Tim Duncan,492373,0.023
James Harden,485986,0.023
Tyson Chandler,467968,0.022
Deron Williams,449791,0.021
Kyrie Irving,445730,0.021
Russell Westbrook,376411,0.018
Ray Allen,326186,0.016
Pau Gasol,310845,0.015
Paul Pierce,294213,0.014
Kevin Love,283458,0.014
Steve Nash,270741,0.013
Ömer Aşık,240467,0.011
Joakim Noah,230796,0.011
Serge Ibaka,197063,0.009
Josh Smith,187174,0.009
Rudy Gay,182523,0.009
Tony Parker,176168,0.008
Stephen Curry,169083,0.008
David Lee,165875,0.008
LaMarcus Aldridge,160197,0.008
Marc Gasol,153459,0.007
Shane Battier,151877,0.007
Ricky Rubio,150227,0.007
Anderson Varejão,149246,0.007
Amar'e Stoudemire,147720,0.007
Zach Randolph,146980,0.007
Dirk Nowitzki,145776,0.007
Chandler Parsons,144697,0.007
Luol Deng,130744,0.006
Monta Ellis,123096,0.006
Manu Ginóbili,118293,0.006
Andrew Bynum,111902,0.005
Brook Lopez,108978,0.005
Raymond Felton,105340,0.005
Jrue Holiday,103146,0.005
Jeff Green,91356,0.004
Jason Terry,88708,0.004
Paul George,80060,0.004
