name,votes,all_star_share
Grant Hill,1358004,0.05
Michael Jordan,1341422,0.049
Shaquille O'Neal,1290591,0.047
Scottie Pippen,1289649,0.047
Charles Barkley,1268195,0.046
Hakeem Olajuwon,1240329,0.045
Clyde Drexler,1070040,0.039
Anfernee Hardaway,1050461,0.038
Jason Kidd,1049946,0.038
David Robinson,1037245,0.038
Shawn Kemp,1021384,0.037
Karl Malone,986028,0.036
John Stockton,823826,0.03
Alonzo Mourning,647899,0.024
Jamal Mashburn,551204,0.02
Joe Dumars,501159,0.018
Dennis Rodman,496293,0.018
Larry Johnson,494013,0.018
Robert Horry,492748,0.018
Reggie Miller,471162,0.017
Jerry Stackhouse,441048,0.016
Tim Hardaway,440291,0.016
Patrick Ewing,437003,0.016
Chris Webber,417095,0.015
Nick Van Exel,382373,0.014
Sam Cassell,373326,0.014
Dikembe Mutombo,369053,0.013
Jim Jackson,368047,0.013
Horace Grant,342641,0.013
Clifford Robinson,330277,0.012
Mitch Richmond,323619,0.012
Cedric Ceballos,322746,0.012
Latrell Sprewell,320657,0.012
Muggsy Bogues,307288,0.011
Damon Stoudamire,305656,0.011
Glen Rice,296143,0.011
Mahmoud Abdul-Rauf,293088,0.011
Glenn Robinson,280548,0.01
A.C. Green,269175,0.01
Vin Baker,259279,0.009
Rik Smits,239736,0.009
Christian Laettner,230036,0.008
Brian Grant,214427,0.008
Sam Perkins,207636,0.008
Derek Harper,202900,0.007
Vlade Divac,201140,0.007
Anthony Mason,198273,0.007
Mark Price,184826,0.007
Kendall Gill,176855,0.006
Gheorghe Mureșan,175226,0.006
