name,votes,all_star_share
LeBron James,2516049,0.057
Yao Ming,2451718,0.055
Kobe Bryant,2138777,0.048
Dwyane Wade,2029591,0.046
Tracy McGrady,1942746,0.044
Allen Iverson,1813638,0.041
Shaquille O'Neal,1622446,0.037
Kevin Garnett,1616575,0.037
Steve Nash,1504826,0.034
Dwight Howard,1464613,0.033
Gilbert Arenas,1454166,0.033
Vince Carter,1451156,0.033
Tim Duncan,1436584,0.032
Carmelo Anthony,1309945,0.03
Dirk Nowitzki,1276304,0.029
Amar'e Stoudemire,1209333,0.027
Chris Bosh,1091263,0.025
Shane Battier,1025643,0.023
Jermaine O'Neal,934749,0.021
Jason Kidd,838486,0.019
Ben Wallace,788950,0.018
Grant Hill,677423,0.015
Paul Pierce,615911,0.014
Shawn Marion,551173,0.012
Rasheed Wallace,549693,0.012
Manu Ginóbili,541341,0.012
Tony Parker,501429,0.011
Chauncey Billups,499670,0.011
Chris Paul,462206,0.01
Andre Iguodala,459139,0.01
Stephon Marbury,458181,0.01
Ray Allen,444443,0.01
Lamar Odom,438824,0.01
Jason Terry,421924,0.01
Josh Howard,412102,0.009
Tayshaun Prince,408936,0.009
Caron Butler,404489,0.009
Emeka Okafor,388170,0.009
Erick Dampier,385179,0.009
Marcus Camby,373382,0.008
Pau Gasol,364459,0.008
Carlos Boozer,359882,0.008
Baron Davis,354412,0.008
Michael Redd,351277,0.008
Mehmet Okur,339247,0.008
Alonzo Mourning,338904,0.008
Ben Gordon,316428,0.007
Steve Francis,307287,0.007
Richard Hamilton,306547,0.007
Andrew Bogut,256579,0.006
