rank,name,votes
1.,Kobe Bryant,2138777
2.,Tracy McGrady,1942746
3.,Allen Iverson,1813638
4.,Steve Nash,1504826
5.,Manu Ginóbili,541341
6.,Tony Parker,501429
7.,Chris Paul,462206
8.,Ray Allen,444443
9.,Jason Terry,421924
10.,Baron Davis,354412
