rank,name,votes
1.,Charles Barkley,1877232
2.,Shawn Kemp,1713049
3.,Karl Malone,1337319
4.,Kevin Garnett,481911
5.,Tom Gugliotta,280504
6.,Sean Elliott,274016
7.,Detlef Schrempf,259839
8.,Cedric Ceballos,229787
9.,Michael Finley,209611
10.,Brian Grant,171169
