name,votes,all_star_share
Michael Jordan,2451136,0.073
Charles Barkley,1877232,0.056
Grant Hill,1868020,0.056
Shawn Kemp,1713049,0.051
Scottie Pippen,1683956,0.05
Hakeem Olajuwon,1487310,0.044
Patrick Ewing,1395759,0.042
Karl Malone,1337319,0.04
Shaquille O'Neal,1305941,0.039
Gary Payton,1206539,0.036
Anfernee Hardaway,1132024,0.034
John Stockton,1127250,0.034
Alonzo Mourning,1041570,0.031
Clyde Drexler,926432,0.028
Jason Kidd,911858,0.027
Dennis Rodman,887483,0.027
David Robinson,753247,0.023
Allen Iverson,567641,0.017
Dikembe Mutombo,541528,0.016
Reggie Miller,506553,0.015
Kevin Garnett,481911,0.014
Nick Van Exel,447347,0.013
Joe Dumars,428535,0.013
Damon Stoudamire,396863,0.012
Chris Webber,396365,0.012
Eddie Jones,372196,0.011
Mitch Richmond,347195,0.01
Marcus Camby,329522,0.01
Avery Johnson,313349,0.009
Tim Hardaway,309220,0.009
Luc Longley,301838,0.009
Jeff Hornacek,300324,0.009
Stephon Marbury,298706,0.009
Jerry Stackhouse,292669,0.009
Juwan Howard,283512,0.008
Tom Gugliotta,280504,0.008
Sean Elliott,274016,0.008
Toni Kukoč,273429,0.008
Vin Baker,269994,0.008
Otis Thorpe,268793,0.008
Detlef Schrempf,259839,0.008
Cedric Ceballos,229787,0.007
Christian Laettner,225893,0.007
Larry Johnson,220886,0.007
Michael Finley,209611,0.006
Glen Rice,199216,0.006
Mookie Blaylock,190348,0.006
Sam Perkins,187698,0.006
Olden Polynice,172143,0.005
Brian Grant,171169,0.005
