rank,name,votes
1,Stephen Curry,3861038
3,James Harden,2905488
4,Russell Westbrook,2512374
6,Damian Lillard,1043785
5,Klay Thompson,1578140
2,Derrick Rose,3376277
7,DeMar DeRozan,1039658
10,Devin Booker,475535
8,Lonzo Ball,961488
9,Chris Paul,520453
13,Jamal Murray,260655
11,Donovan Mitchell,417390
12,De'Aaron Fox,358582
14,Bogdan Bogdanović,243440
19,CJ McCollum,205182
15,Dennis Schröder,239671
23,Mike Conley,141683
26,Jrue Holiday,93873
22,Buddy Hield,141994
29,Lou Williams,83791
17,Rajon Rondo,220466
18,Josh Hart,209425
27,Dennis Smith Jr.,90268
24,Marco Belinelli,104675
20,Eric Gordon,165649
31,Kentavious Caldwell-Pope,76553
30,Ricky Rubio,78842
37,J.J. Barea,65274
35,Quinn Cook,69321
33,Terrance Ferguson,72501
32,Álex Abrines,73043
34,Gary Harris,70131
42,Seth Curry,49447
45,Derrick White,43473
39,Hamidou Diallo,56551
40,Bryn Forbes,54302
41,Patty Mills,50432
49,Wesley Matthews,26731
58,Jeff Teague,18719
50,Malik Beasley,24344
54,Dante Exum,20517
59,Grayson Allen,18350
56,Shai Gilgeous-Alexander,19842
69,Patrick Beverley,12873
64,Deonte Burton,14703
65,Will Barton,14668
63,Jacob Evans,15573
72,Timothé Luwawu-Cabarrot,9522
75,Avery Bradley,8460
78,Nik Stauskas,7574
80,Jerryd Bayless,6811
82,Wade Baldwin,6351
83,Jevon Carter,6154
16,Andre Iguodala,234866
21,Lance Stephenson,150510
90,Frank Mason III,3960
91,Jawun Evans,3948
25,Gerald Green,103557
93,E'Twaun Moore,3551
28,Shaun Livingston,88964
98,Garrett Temple,3043
101,Jared Terrell,2262
36,Miloš Teodosić,65564
38,Austin Rivers,62225
110,MarShon Brooks,1296
43,Kyle Korver,48710
44,Isaiah Thomas,44367
46,Andre Roberson,40928
47,Josh Okogie,28373
48,Raymond Felton,27109
51,Jamal Crawford,22935
52,Tyus Jones,22516
53,Monte Morris,21027
55,Sviatoslav Mykhailiuk,20170
57,Devin Harris,19132
60,Brandon Knight,18110
61,Jalen Brunson,17034
62,Damion Lee,15964
66,Dejounte Murray,14215
67,Isaac Bonga,13678
68,Lonnie Walker,12932
70,Iman Shumpert,11093
71,Alex Caruso,9563
73,Evan Turner,9218
74,Ryan Broekhoff,8809
76,Yuta Watanabe,8456
77,Michael Carter-Williams,8045
79,Raul Neto,7088
81,Yogi Ferrell,6423
84,Elie Okobo,5127
85,Daryl Macon,4851
86,De'Anthony Melton,4791
87,Elfrid Payton,4757
88,Dillon Brooks,4521
89,Brandon Goodwin,4344
92,Troy Daniels,3883
94,Ben McLemore,3396
95,Naz Mitrou-Long,3234
96,Frank Jackson,3155
97,Anfernee Simons,3083
99,C.J. Williams,3039
100,Tyrone Wallace,2704
102,Gary Trent Jr.,2201
103,Tim Frazier,2119
104,Wayne Selden,1987
105,Ian Clark,1936
106,Jerome Robinson,1828
107,Sindarius Thornwell,1741
108,Shelvin Mack,1666
109,Trevon Bluiett,1492
111,Kenrich Williams,938
112,Andrew Harrison,834
