rank,name,votes
1,Kyrie Irving,3881766
3,Kemba Walker,1395330
4,Ben Simmons,1184221
2,Dwyane Wade,2208598
5,Victor Oladipo,948260
6,Kyle Lowry,931460
10,Bradley Beal,346027
7,Zach LaVine,519746
11,D'Angelo Russell,222499
16,Eric Bledsoe,164441
13,Jaylen Brown,213401
17,Malcolm Brogdon,142966
18,J.J. Redick,122738
20,Spencer Dinwiddie,115054
15,John Wall,169032
19,Marcus Smart,122200
21,Trae Young,106790
24,Tony Parker,77056
14,Jordan Clarkson,191853
23,Terry Rozier,79584
25,Tim Hardaway Jr.,68310
27,Josh Richardson,61287
28,Collin Sexton,36471
32,T.J. McConnell,26564
35,Darren Collison,22529
22,Fred VanVleet,101147
33,Kris Dunn,23389
37,Evan Fournier,21611
30,Markelle Fultz,29992
42,Jeremy Lamb,16378
34,Caris LeVert,23085
46,Cory Joseph,14252
36,George Hill,21901
52,Reggie Jackson,12680
48,Tyreke Evans,14114
54,D.J. Augustin,12441
49,Jaylen Adams,13927
50,Malik Monk,13650
51,Emmanuel Mudiay,12959
43,Tony Snell,16215
61,Ryan Arcidiacono,10235
56,Kent Bazemore,11777
66,Reggie Bullock,8446
65,PJ Dozier,8545
63,Aaron Holiday,9819
74,Ron Baker,6878
67,Rodney Hood,8046
72,Justin Anderson,7086
81,Antonio Blakeney,5002
75,Devonte' Graham,6668
8,Goran Dragić,482214
9,Jeremy Lin,449166
78,Alec Burks,5516
12,Danny Green,220816
82,Langston Galloway,4837
88,Walt Lemon Jr.,4253
89,Bruce Brown,4242
92,Cameron Payne,3886
26,Furkan Korkmaz,61306
103,Jerian Grant,2786
29,Delon Wright,35189
31,Matthew Dellavedova,28387
100,Daniel Hamilton,3246
101,Patrick McCaw,3073
113,Troy Caupain,1589
38,José Calderón,21473
39,Donte DiVincenzo,20293
40,Landry Shamet,19255
41,Pat Connaughton,16580
109,Jordan McRae,1971
44,Sterling Brown,14534
45,Dion Waiters,14335
47,Allonzo Trier,14138
53,Džanan Musa,12560
55,Frank Ntilikina,11791
57,Tyler Johnson,11649
58,Tyler Dorsey,11511
59,Terrence Ross,11462
60,Tomáš Satoranský,10643
62,Rawle Alkins,10178
64,Brad Wanamaker,9033
68,Kevin Huerter,7932
69,Trey Burke,7678
70,Wayne Ellington,7655
71,Dwayne Bacon,7549
73,Allen Crabbe,6896
76,Luke Kennard,6320
77,Shabazz Napier,5910
79,Trevon Duval,5276
80,Denzel Valentine,5099
83,Jordan Loyd,4821
84,Malachi Richardson,4758
85,Ish Smith,4631
86,Damyean Dotson,4393
87,Jaylen Morris,4350
90,Shake Milton,4154
91,Zhaire Smith,3985
93,Courtney Lee,3768
94,Shaquille Harrison,3760
95,Lorenzo Brown,3409
96,J.P. Macura,3399
97,David Nwaba,3385
98,Isaiah Briscoe,3362
99,Glenn Robinson III,3257
102,Khyri Thomas,2890
104,Theo Pinson,2525
105,Demetrius Jackson,2295
106,Chasson Randle,2137
107,Keenan Evans,2050
108,Brandon Sampson,2049
110,Edmond Sumner,1671
111,Joe Chealey,1668
112,Melvin Frazier,1663
114,Zach Lofton,1360
115,Davon Reed,1122
