rank,name,votes
1,Giannis Antetokounmpo,4375747
2,Kawhi Leonard,3580531
3,Joel Embiid,2783833
4,Jayson Tatum,1002885
8,Pascal Siakam,506199
13,Nikola Vučević,255487
5,Jimmy Butler,907775
6,Blake Griffin,843785
7,Vince Carter,540939
12,Andre Drummond,264473
14,Khris Middleton,238103
10,Al Horford,360988
17,Brook Lopez,147667
11,Serge Ibaka,348217
9,Gordon Hayward,412018
18,Domantas Sabonis,144248
20,Bojan Bogdanović,122143
16,Marcus Morris,190006
25,Jarrett Allen,94421
15,Kevin Love,191230
24,Aaron Gordon,94489
27,Myles Turner,89023
19,Lauri Markkanen,139747
28,Mo Bamba,81319
34,Tristan Thompson,49756
31,John Collins,55563
37,Bam Adebayo,46466
30,OG Anunoby,69500
21,Hassan Whiteside,119122
22,Jonas Valančiūnas,114827
23,Cedi Osman,101593
32,Ersan İlyasova,53653
42,Thaddeus Young,30244
45,Trevor Ariza,26975
35,Aron Baynes,49545
36,Justise Winslow,49421
29,Enes Kanter,70621
48,Wendell Carter Jr.,23420
40,Kevin Knox,32851
41,Thon Maker,31403
50,Zaza Pachulia,21525
54,Nicolas Batum,18813
63,Wilson Chandler,13791
56,Rodions Kurucs,17925
57,Miles Bridges,17319
46,Joe Harris,24489
55,Jabari Parker,18051
47,Willy Hernangómez,24162
62,Thomas Bryant,13848
51,Udonis Haslem,21197
60,Jonah Bolden,14995
69,Rondae Hollis-Jefferson,11716
58,Cristiano Felício,17219
59,Chris Boucher,15678
71,Jeff Green,11332
68,Ed Davis,12750
77,Robin Lopez,11049
64,Kelly Olynyk,13303
65,James Johnson,13217
66,Mario Hezonja,12999
76,Channing Frye,11090
85,Mike Muscala,9292
89,Bismack Biyombo,8128
87,Ike Anigbogu,8882
88,Bobby Portis,8209
80,Marvin Williams,10093
81,Doug McDermott,10079
90,Jonathon Simmons,7686
82,Jared Dudley,9760
83,Otto Porter,9713
84,Dewayne Dedmon,9483
86,Alex Len,9006
95,Sam Dekker,6795
91,Rodney McGruder,7230
92,Noah Vonleh,7190
93,Amir Johnson,7189
96,DeAndre' Bembry,6732
97,Taurean Prince,6542
106,Chandler Hutchison,5111
98,Markieff Morris,6491
109,Kyle O'Quinn,4144
101,Mitchell Robinson,6126
26,Kristaps Porziņģis,89334
110,Troy Brown Jr.,4101
33,Dwight Howard,50356
38,Larry Nance Jr.,40455
128,Amile Jefferson,2531
39,Norman Powell,38937
121,Khem Birch,3196
123,Lance Thomas,2950
43,Daniel Theis,27283
125,Wesley Iwundu,2704
44,Robert Williams,27246
49,D.J. Wilson,22258
52,Derrick Jones Jr.,20002
53,C.J. Miles,19435
61,Greg Monroe,14563
67,Ante Žižić,12931
70,Semi Ojeleye,11665
72,Frank Kaminsky,11325
73,Guerschon Yabusele,11201
74,Michael Kidd-Gilchrist,11144
75,Cody Zeller,11141
78,Kenneth Faried,10431
79,DeMarre Carroll,10384
94,Jonathan Isaac,6855
99,Christian Wood,6396
100,Stanley Johnson,6375
102,Jason Smith,5864
103,Henry Ellenson,5823
104,Timofey Mozgov,5796
105,Justin Holiday,5169
107,Duncan Robinson,4918
108,T.J. Leaf,4656
111,Treveon Graham,4093
112,Luke Kornet,3995
113,Jaron Blossomgame,3962
114,Alex Poythress,3583
115,Omari Spellman,3479
116,Justin Patton,3417
117,Jon Leuer,3391
118,Alize Johnson,3333
119,Miles Plumlee,3247
120,Jalen Jones,3228
122,John Henson,3018
124,Ian Mahinmi,2937
126,Isaiah Hicks,2667
127,Devin Robinson,2538
129,Yante Maten,2085
130,Jarell Martin,1401
