name,votes,all_star_share
LeBron James,4620809,0.052
Giannis Antetokounmpo,4375747,0.049
Luka Dončić,4242980,0.047
Kyrie Irving,3881766,0.043
Stephen Curry,3861038,0.043
Kawhi Leonard,3580531,0.04
Derrick Rose,3376277,0.038
Kevin Durant,3150648,0.035
Paul George,3122346,0.035
James Harden,2905488,0.032
Joel Embiid,2783833,0.031
Anthony Davis,2520728,0.028
Russell Westbrook,2512374,0.028
Dwyane Wade,2208598,0.025
Steven Adams,1779073,0.02
Klay Thompson,1578140,0.018
Nikola Jokić,1445989,0.016
Kemba Walker,1395330,0.016
Ben Simmons,1184221,0.013
Kyle Kuzma,1155582,0.013
Damian Lillard,1043785,0.012
DeMar DeRozan,1039658,0.012
Jayson Tatum,1002885,0.011
Lonzo Ball,961488,0.011
Draymond Green,958761,0.011
Victor Oladipo,948260,0.011
Kyle Lowry,931460,0.01
Jimmy Butler,907775,0.01
Blake Griffin,843785,0.009
DeMarcus Cousins,691722,0.008
Vince Carter,540939,0.006
Chris Paul,520453,0.006
Zach LaVine,519746,0.006
Pascal Siakam,506199,0.006
Karl-Anthony Towns,501401,0.006
Goran Dragić,482214,0.005
Devin Booker,475535,0.005
Clint Capela,467048,0.005
LaMarcus Aldridge,463118,0.005
Jeremy Lin,449166,0.005
Brandon Ingram,447996,0.005
Donovan Mitchell,417390,0.005
Gordon Hayward,412018,0.005
Dirk Nowitzki,394622,0.004
Al Horford,360988,0.004
De'Aaron Fox,358582,0.004
Serge Ibaka,348217,0.004
Bradley Beal,346027,0.004
JaVale McGee,316015,0.004
Andre Drummond,264473,0.003
Jamal Murray,260655,0.003
Danilo Gallinari,259799,0.003
Nikola Vučević,255487,0.003
Bogdan Bogdanović,243440,0.003
Dennis Schröder,239671,0.003
Khris Middleton,238103,0.003
Jerami Grant,238095,0.003
Andre Iguodala,234866,0.003
D'Angelo Russell,222499,0.002
Danny Green,220816,0.002
Rajon Rondo,220466,0.002
Tobias Harris,219184,0.002
Jaylen Brown,213401,0.002
Josh Hart,209425,0.002
CJ McCollum,205182,0.002
Carmelo Anthony,202117,0.002
Rudy Gobert,196040,0.002
Jordan Clarkson,191853,0.002
Kevin Love,191230,0.002
Marcus Morris,190006,0.002
