name,votes,all_star_share
DeAndre Jordan,173516,0.002
John Wall,169032,0.002
Eric Gordon,165649,0.002
Eric Bledsoe,164441,0.002
Lance Stephenson,150510,0.002
P.J. Tucker,149798,0.002
Brook Lopez,147667,0.002
Domantas Sabonis,144248,0.002
Malcolm Brogdon,142966,0.002
Buddy Hield,141994,0.002
Mike Conley,141683,0.002
Lauri Markkanen,139747,0.002
Jusuf Nurkić,131459,0.001
Jonas Jerebko,125647,0.001
Boban Marjanović,123533,0.001
Andrew Wiggins,123527,0.001
Rudy Gay,122988,0.001
J.J. Redick,122738,0.001
Marcus Smart,122200,0.001
Bojan Bogdanović,122143,0.001
Nemanja Bjelica,121732,0.001
Hassan Whiteside,119122,0.001
Spencer Dinwiddie,115054,0.001
Jonas Valančiūnas,114827,0.001
Trae Young,106790,0.001
Marco Belinelli,104675,0.001
Gerald Green,103557,0.001
Marc Gasol,102405,0.001
Cedi Osman,101593,0.001
Fred VanVleet,101147,0.001
Deandre Ayton,101143,0.001
Kostas Antetokounmpo,98369,0.001
Ivica Zubac,97263,0.001
Aaron Gordon,94489,0.001
Jarrett Allen,94421,0.001
Jrue Holiday,93873,0.001
Kevon Looney,91374,0.001
Dennis Smith Jr.,90268,0.001
Kristaps Porziņģis,89334,0.001
Myles Turner,89023,0.001
Shaun Livingston,88964,0.001
Lou Williams,83791,0.001
Mo Bamba,81319,0.001
Terry Rozier,79584,0.001
Ricky Rubio,78842,0.001
Tyson Chandler,78740,0.001
Joe Ingles,77335,0.001
Tony Parker,77056,0.001
Kentavious Caldwell-Pope,76553,0.001
Jordan Bell,73082,0.001
Álex Abrines,73043,0.001
Terrance Ferguson,72501,0.001
Nerlens Noel,72361,0.001
Pau Gasol,71195,0.001
Enes Kanter,70621,0.001
Gary Harris,70131,0.001
OG Anunoby,69500,0.001
Harrison Barnes,69434,0.001
Quinn Cook,69321,0.001
Tim Hardaway Jr.,68310,0.001
Miloš Teodosić,65564,0.001
J.J. Barea,65274,0.001
Paul Millsap,63365,0.001
Robert Covington,62266,0.001
Austin Rivers,62225,0.001
Furkan Korkmaz,61306,0.001
Josh Richardson,61287,0.001
Hamidou Diallo,56551,0.001
Michael Beasley,55823,0.001
John Collins,55563,0.001
Bryn Forbes,54302,0.001
Ersan İlyasova,53653,0.001
Dāvis Bertāns,52192,0.001
Patty Mills,50432,0.001
Dwight Howard,50356,0.001
Tristan Thompson,49756,0.001
Aron Baynes,49545,0.001
Seth Curry,49447,0.001
Justise Winslow,49421,0.001
Kyle Korver,48710,0.001
Julius Randle,48268,0.001
Juan Hernangómez,47464,0.001
Montrezl Harrell,47205,0.001
Bam Adebayo,46466,0.001
Danuel House,45459,0.001
Isaiah Thomas,44367,0.0
Derrick White,43473,0.0
Andre Roberson,40928,0.0
Larry Nance Jr.,40455,0.0
Alfonzo McKinnie,40423,0.0
Norman Powell,38937,0.0
Nenê,38334,0.0
Dario Šarić,37201,0.0
Collin Sexton,36471,0.0
Delon Wright,35189,0.0
Kelly Oubre Jr.,33522,0.0
Kevin Knox,32851,0.0
Patrick Patterson,31968,0.0
Jakob Poeltl,31560,0.0
Thon Maker,31403,0.0
Marvin Bagley III,30830,0.0
Maxi Kleber,30269,0.0
Thaddeus Young,30244,0.0
Markelle Fultz,29992,0.0
Abdel Nader,29254,0.0
Matthew Dellavedova,28387,0.0
Josh Okogie,28373,0.0
Willie Cauley-Stein,28256,0.0
Derrick Favors,28213,0.0
Jae Crowder,28076,0.0
Nikola Mirotić,27799,0.0
Mason Plumlee,27733,0.0
T.J. Warren,27697,0.0
Daniel Theis,27283,0.0
Robert Williams,27246,0.0
Raymond Felton,27109,0.0
Trevor Ariza,26975,0.0
Wesley Matthews,26731,0.0
Taj Gibson,26708,0.0
T.J. McConnell,26564,0.0
Al-Farouq Aminu,26552,0.0
Joe Harris,24489,0.0
Malik Beasley,24344,0.0
Willy Hernangómez,24162,0.0
Wendell Carter Jr.,23420,0.0
Jaren Jackson Jr.,23390,0.0
Kris Dunn,23389,0.0
Caris LeVert,23085,0.0
Jamal Crawford,22935,0.0
Darren Collison,22529,0.0
Tyus Jones,22516,0.0
D.J. Wilson,22258,0.0
George Hill,21901,0.0
Evan Fournier,21611,0.0
Zaza Pachulia,21525,0.0
José Calderón,21473,0.0
James Ennis,21347,0.0
Damian Jones,21317,0.0
Udonis Haslem,21197,0.0
Monte Morris,21027,0.0
Dwight Powell,20554,0.0
Moritz Wagner,20529,0.0
Dante Exum,20517,0.0
Donte DiVincenzo,20293,0.0
Sviatoslav Mykhailiuk,20170,0.0
Derrick Jones Jr.,20002,0.0
Shai Gilgeous-Alexander,19842,0.0
C.J. Miles,19435,0.0
Landry Shamet,19255,0.0
Devin Harris,19132,0.0
Nicolas Batum,18813,0.0
Jeff Teague,18719,0.0
Dorian Finney-Smith,18470,0.0
Grayson Allen,18350,0.0
Brandon Knight,18110,0.0
Jabari Parker,18051,0.0
Torrey Craig,18015,0.0
Rodions Kurucs,17925,0.0
Miles Bridges,17319,0.0
Cristiano Felício,17219,0.0
Jalen Brunson,17034,0.0
Pat Connaughton,16580,0.0
Kosta Koufos,16408,0.0
Jeremy Lamb,16378,0.0
Zach Collins,16287,0.0
Tony Snell,16215,0.0
Damion Lee,15964,0.0
Marcus Derrickson,15695,0.0
Chris Boucher,15678,0.0
Jacob Evans,15573,0.0
Gary Clark,15366,0.0
Marcin Gortat,15006,0.0
Jonah Bolden,14995,0.0
Deonte Burton,14703,0.0
Will Barton,14668,0.0
Greg Monroe,14563,0.0
Sterling Brown,14534,0.0
Dion Waiters,14335,0.0
Cory Joseph,14252,0.0
Dejounte Murray,14215,0.0
Allonzo Trier,14138,0.0
Tyreke Evans,14114,0.0
Omri Casspi,14031,0.0
Jaylen Adams,13927,0.0
Thomas Bryant,13848,0.0
Wilson Chandler,13791,0.0
Isaac Bonga,13678,0.0
Malik Monk,13650,0.0
Kelly Olynyk,13303,0.0
James Johnson,13217,0.0
Mario Hezonja,12999,0.0
Emmanuel Mudiay,12959,0.0
Meyers Leonard,12933,0.0
Lonnie Walker,12932,0.0
Ante Žižić,12931,0.0
Patrick Beverley,12873,0.0
Ed Davis,12750,0.0
Reggie Jackson,12680,0.0
Džanan Musa,12560,0.0
D.J. Augustin,12441,0.0
Johnathan Williams,12423,0.0
Mikal Bridges,12284,0.0
Gorgui Dieng,12079,0.0
Trey Lyles,11872,0.0
Maurice Harkless,11822,0.0
Frank Ntilikina,11791,0.0
Kent Bazemore,11777,0.0
Rondae Hollis-Jefferson,11716,0.0
Semi Ojeleye,11665,0.0
Tyler Johnson,11649,0.0
Tyler Dorsey,11511,0.0
Terrence Ross,11462,0.0
Jeff Green,11332,0.0
Frank Kaminsky,11325,0.0
Guerschon Yabusele,11201,0.0
Michael Kidd-Gilchrist,11144,0.0
Cody Zeller,11141,0.0
Iman Shumpert,11093,0.0
Channing Frye,11090,0.0
Robin Lopez,11049,0.0
Michael Porter Jr.,10756,0.0
Tomáš Satoranský,10643,0.0
Josh Jackson,10617,0.0
Kyle Anderson,10590,0.0
Kenneth Faried,10431,0.0
DeMarre Carroll,10384,0.0
Ryan Arcidiacono,10235,0.0
Rawle Alkins,10178,0.0
Marvin Williams,10093,0.0
Doug McDermott,10079,0.0
Joakim Noah,9877,0.0
Aaron Holiday,9819,0.0
Jared Dudley,9760,0.0
Jake Layman,9714,0.0
Otto Porter,9713,0.0
Harry Giles,9678,0.0
Alex Caruso,9563,0.0
Timothé Luwawu-Cabarrot,9522,0.0
Dewayne Dedmon,9483,0.0
Mike Muscala,9292,0.0
Justin Jackson,9271,0.0
Evan Turner,9218,0.0
Luol Deng,9035,0.0
Brad Wanamaker,9033,0.0
Alex Len,9006,0.0
Ike Anigbogu,8882,0.0
Ryan Broekhoff,8809,0.0
PJ Dozier,8545,0.0
Avery Bradley,8460,0.0
Yuta Watanabe,8456,0.0
Reggie Bullock,8446,0.0
Bobby Portis,8209,0.0
Royce O'Neale,8163,0.0
Bismack Biyombo,8128,0.0
Rodney Hood,8046,0.0
Michael Carter-Williams,8045,0.0
Kevin Huerter,7932,0.0
Jonathon Simmons,7686,0.0
Trey Burke,7678,0.0
Wayne Ellington,7655,0.0
Nik Stauskas,7574,0.0
Dwayne Bacon,7549,0.0
Dante Cunningham,7472,0.0
Rodney McGruder,7230,0.0
Noah Vonleh,7190,0.0
Amir Johnson,7189,0.0
Raul Neto,7088,0.0
Justin Anderson,7086,0.0
Vince Edwards,7007,0.0
Allen Crabbe,6896,0.0
Ron Baker,6878,0.0
Jonathan Isaac,6855,0.0
Marquese Chriss,6829,0.0
Jerryd Bayless,6811,0.0
Sam Dekker,6795,0.0
Anthony Tolliver,6788,0.0
DeAndre' Bembry,6732,0.0
Devonte' Graham,6668,0.0
Dragan Bender,6570,0.0
Taurean Prince,6542,0.0
Ekpe Udoh,6518,0.0
Markieff Morris,6491,0.0
Yogi Ferrell,6423,0.0
Christian Wood,6396,0.0
Stanley Johnson,6375,0.0
Isaiah Hartenstein,6370,0.0
Wade Baldwin,6351,0.0
Salah Mejri,6322,0.0
Luke Kennard,6320,0.0
Thabo Sefolosha,6236,0.0
Zach Randolph,6231,0.0
Jevon Carter,6154,0.0
Mitchell Robinson,6126,0.0
Shabazz Napier,5910,0.0
Jason Smith,5864,0.0
Henry Ellenson,5823,0.0
Timofey Mozgov,5796,0.0
Ryan Anderson,5711,0.0
Richaun Holmes,5639,0.0
Alec Burks,5516,0.0
Trevon Duval,5276,0.0
Justin Holiday,5169,0.0
Elie Okobo,5127,0.0
Keita Bates-Diop,5116,0.0
Chandler Hutchison,5111,0.0
Denzel Valentine,5099,0.0
Antonio Blakeney,5002,0.0
Duncan Robinson,4918,0.0
Daryl Macon,4851,0.0
Langston Galloway,4837,0.0
Jordan Loyd,4821,0.0
De'Anthony Melton,4791,0.0
Malachi Richardson,4758,0.0
Elfrid Payton,4757,0.0
T.J. Leaf,4656,0.0
Ish Smith,4631,0.0
Dillon Brooks,4521,0.0
Ray Spalding,4518,0.0
Donte Grantham,4492,0.0
Damyean Dotson,4393,0.0
Jaylen Morris,4350,0.0
Brandon Goodwin,4344,0.0
Walt Lemon Jr.,4253,0.0
Jahlil Okafor,4247,0.0
Bruce Brown,4242,0.0
Ángel Delgado,4204,0.0
Shake Milton,4154,0.0
Kyle O'Quinn,4144,0.0
Troy Brown Jr.,4101,0.0
Treveon Graham,4093,0.0
Caleb Swanigan,4009,0.0
Luke Kornet,3995,0.0
Zhaire Smith,3985,0.0
Jaron Blossomgame,3962,0.0
Frank Mason III,3960,0.0
Jawun Evans,3948,0.0
Cameron Payne,3886,0.0
Troy Daniels,3883,0.0
Drew Eubanks,3853,0.0
Mike Scott,3820,0.0
Courtney Lee,3768,0.0
Shaquille Harrison,3760,0.0
Alex Poythress,3583,0.0
E'Twaun Moore,3551,0.0
James Nunnally,3537,0.0
Omari Spellman,3479,0.0
Thomas Welsh,3439,0.0
Justin Patton,3417,0.0
JaMychal Green,3409,0.0
Lorenzo Brown,3409,0.0
J.P. Macura,3399,0.0
Ben McLemore,3396,0.0
Jon Leuer,3391,0.0
David Nwaba,3385,0.0
Isaiah Briscoe,3362,0.0
Alize Johnson,3333,0.0
Glenn Robinson III,3257,0.0
Miles Plumlee,3247,0.0
Daniel Hamilton,3246,0.0
Naz Mitrou-Long,3234,0.0
Jalen Jones,3228,0.0
Khem Birch,3196,0.0
Frank Jackson,3155,0.0
Luc Mbah a Moute,3125,0.0
Anfernee Simons,3083,0.0
Patrick McCaw,3073,0.0
Garrett Temple,3043,0.0
C.J. Williams,3039,0.0
Chandler Parsons,3030,0.0
John Henson,3018,0.0
George King,2964,0.0
Lance Thomas,2950,0.0
Georges Niang,2942,0.0
Ian Mahinmi,2937,0.0
Khyri Thomas,2890,0.0
Jarred Vanderbilt,2815,0.0
Jerian Grant,2786,0.0
Cheick Diallo,2757,0.0
Wenyen Gabriel,2750,0.0
Tyler Lydon,2707,0.0
Wesley Iwundu,2704,0.0
Tyrone Wallace,2704,0.0
Chimezie Metu,2695,0.0
Isaiah Hicks,2667,0.0
Troy Williams,2647,0.0
Ben Moore,2606,0.0
Tony Bradley,2552,0.0
Devin Robinson,2538,0.0
Amile Jefferson,2531,0.0
Theo Pinson,2525,0.0
Skal Labissière,2471,0.0
Quincy Pondexter,2367,0.0
Demetrius Jackson,2295,0.0
Jared Terrell,2262,0.0
Gary Trent Jr.,2201,0.0
Chasson Randle,2137,0.0
Tyler Cavanaugh,2126,0.0
Tim Frazier,2119,0.0
Yante Maten,2085,0.0
Keenan Evans,2050,0.0
Brandon Sampson,2049,0.0
Darius Miller,2012,0.0
Wayne Selden,1987,0.0
Jordan McRae,1971,0.0
Ian Clark,1936,0.0
Wesley Johnson,1919,0.0
Johnathan Motley,1832,0.0
Jerome Robinson,1828,0.0
Sindarius Thornwell,1741,0.0
Edmond Sumner,1671,0.0
Joe Chealey,1668,0.0
Shelvin Mack,1666,0.0
Melvin Frazier,1663,0.0
Ivan Rabb,1628,0.0
Solomon Hill,1607,0.0
Troy Caupain,1589,0.0
Trevon Bluiett,1492,0.0
Jarell Martin,1401,0.0
Zach Lofton,1360,0.0
MarShon Brooks,1296,0.0
Davon Reed,1122,0.0
Jarnell Stokes,1049,0.0
Kenrich Williams,938,0.0
Andrew Harrison,834,0.0
Eric Moreland,538,0.0
