name,votes,all_star_share
Magic Johnson,957447,0.078
Moses Malone,662445,0.054
Isiah Thomas,660017,0.054
Ralph Sampson,620824,0.051
Michael Jordan,606193,0.05
Julius Erving,590003,0.048
Larry Bird,564521,0.046
Kareem Abdul-Jabbar,554402,0.045
Kelly Tripucka,468455,0.038
George Gervin,452132,0.037
Hakeem Olajuwon,449048,0.037
Sidney Moncrief,403033,0.033
Norm Nixon,386421,0.032
Bernard King,381660,0.031
Adrian Dantley,363327,0.03
Darrell Griffith,362911,0.03
Alex English,351433,0.029
Jim Paxson,334150,0.027
Marques Johnson,316883,0.026
Larry Nance,287665,0.024
Dennis Johnson,282948,0.023
Robert Parish,269810,0.022
Bill Laimbeer,268820,0.022
Dan Issel,259727,0.021
Artis Gilmore,252717,0.021
Dan Roundfield,252627,0.021
Paul Pressey,240244,0.02
Sam Perkins,239254,0.02
Tree Rollins,217950,0.018
Alton Lister,172711,0.014
